Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2778 (0.3928),0.0877 (0.1241),0.1333 (0.1886),19.0
Sister Victor N. Khoury,0.9697 (0.0429),0.7963 (0.2881),0.8375 (0.1972),20.0
Your son George,0.4074 (0.1716),0.9018 (0.0704),0.5359 (0.1393),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.1667 (0.2357),0.0513 (0.0725),0.0784 (0.1109),16.0
Ameen Rihani,0.9259 (0.0605),0.8514 (0.1535),0.8739 (0.0711),24.0
Shibli N. Damus,0.8729 (0.0893),0.8964 (0.1465),0.8706 (0.0620),103.0
Naoum Mokarzel,0.9697 (0.0429),0.6519 (0.1063),0.7762 (0.0834),18.0
Eissa alKhouri,0.9153 (0.0612),0.8467 (0.1455),0.8669 (0.0570),43.0
Girgi Dimitri Sursock,0.3137 (0.1109),0.8587 (0.0603),0.4483 (0.1300),7.0
Felix Faris,0.7042 (0.2154),0.8870 (0.1118),0.7526 (0.1347),151.0
May Ziadeh,0.2396 (0.1973),0.4908 (0.3257),0.3133 (0.2441),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7047 (0.2627),0.6066 (0.1470),0.6132 (0.1672),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.1176 (0.1664),0.1538 (0.2176),0.1333 (0.1886),13.0
Ibrahim Mejahid Al-Jaza'eri,0.9841 (0.0224),0.5067 (0.3336),0.5853 (0.3603),25.0
Daoud Mujaes,0.6608 (0.1850),0.7407 (0.2881),0.6951 (0.2346),18.0
Bechara El Khoury,0.6455 (0.1457),0.7500 (0.1350),0.6761 (0.0805),8.0
Youssef Ibrahim Yazbek,0.9365 (0.0898),0.7004 (0.0441),0.7984 (0.0430),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.9456 (0.0770),0.9704 (0.0419),49.0
Elie Maroun Khalil,0.9157 (0.0418),0.6924 (0.2878),0.7560 (0.2317),22.0
Aziz Khoury,0.6667 (0.4714),0.0952 (0.0673),0.1667 (0.1179),14.0
Ghnatyos Mbarak,0.3333 (0.1875),0.0789 (0.0481),0.1115 (0.0730),21.0
Botros Feghaly,0.7725 (0.2474),0.3492 (0.2278),0.4536 (0.2288),24.0
Toufiq Wehbeh,0.7475 (0.1587),0.9617 (0.0541),0.8283 (0.1035),21.0
Bishop Mkhayel Akhrass,0.8353 (0.1642),0.8571 (0.2020),0.8101 (0.0958),17.0
George Saad,0.7704 (0.1906),0.6404 (0.1015),0.6951 (0.1286),38.0
Bishop Aghnathios Mbarak,0.5380 (0.0236),0.7266 (0.2116),0.6063 (0.0976),15.0
Fathallah Khoury,0.8437 (0.0917),0.7452 (0.2264),0.7598 (0.1131),14.0
Elias Sarkis,0.5316 (0.1509),0.9489 (0.0380),0.6649 (0.1179),20.0
Fouad Chehab,0.9965 (0.0050),0.9930 (0.0099),0.9947 (0.0075),11.0
Hanna Moussa,0.9710 (0.0410),0.9967 (0.0047),0.9832 (0.0204),25.0
Habib Massoud,0.8993 (0.0965),0.7745 (0.3189),0.7738 (0.2050),26.0
Zaghloul,0.9386 (0.0642),0.9923 (0.0109),0.9634 (0.0336),25.0
Father Youhanna Habib Baysari,0.8796 (0.0568),0.9423 (0.0408),0.9086 (0.0366),23.0
