Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.3000 (0.4243),0.1579 (0.2233),0.2069 (0.2926),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.8889 (0.1571),0.9333 (0.0943),20.0
Your son George,0.3897 (0.1369),0.7444 (0.1400),0.4816 (0.1102),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7077 (0.2001),0.8907 (0.0869),0.7644 (0.0863),24.0
Shibli N. Damus,0.8138 (0.1088),0.6415 (0.2654),0.6631 (0.1582),103.0
Naoum Mokarzel,0.6667 (0.4714),0.0889 (0.0685),0.1558 (0.1181),18.0
Eissa alKhouri,0.9398 (0.0511),0.4061 (0.3812),0.4730 (0.3348),43.0
Girgi Dimitri Sursock,0.2491 (0.0897),0.5365 (0.1267),0.3193 (0.0571),7.0
Felix Faris,0.5636 (0.2857),0.8287 (0.1423),0.5934 (0.2291),151.0
May Ziadeh,0.0676 (0.0502),0.2040 (0.1426),0.0967 (0.0758),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5126 (0.2905),0.4644 (0.1368),0.4587 (0.2203),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0159 (0.0224),0.0256 (0.0363),0.0196 (0.0277),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5167 (0.3659),0.1733 (0.1473),0.2511 (0.1989),25.0
Daoud Mujaes,0.6078 (0.4358),0.3333 (0.3271),0.3879 (0.3270),18.0
Bechara El Khoury,0.2055 (0.0393),0.4583 (0.2946),0.2721 (0.0907),8.0
Youssef Ibrahim Yazbek,0.3922 (0.4358),0.0690 (0.0489),0.1051 (0.0769),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.8017 (0.0563),0.8888 (0.0355),49.0
Elie Maroun Khalil,0.6111 (0.2833),0.1415 (0.1250),0.2232 (0.1836),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.2222 (0.3143),0.0317 (0.0449),0.0556 (0.0786),21.0
Botros Feghaly,0.1667 (0.2357),0.0159 (0.0224),0.0290 (0.0410),24.0
Toufiq Wehbeh,0.6877 (0.1706),0.8639 (0.1600),0.7308 (0.0227),21.0
Bishop Mkhayel Akhrass,0.5331 (0.2018),0.6833 (0.4162),0.5535 (0.3081),17.0
George Saad,0.5758 (0.4221),0.0906 (0.0688),0.1539 (0.1137),38.0
Bishop Aghnathios Mbarak,0.4443 (0.0396),0.5736 (0.3279),0.4487 (0.1684),15.0
Fathallah Khoury,0.1238 (0.1751),0.2167 (0.3064),0.1576 (0.2228),14.0
Elias Sarkis,0.4462 (0.0961),0.8341 (0.0762),0.5789 (0.1004),20.0
Fouad Chehab,1.0000 (0.0000),0.9239 (0.0241),0.9603 (0.0129),11.0
Hanna Moussa,0.7859 (0.1471),0.9757 (0.0343),0.8603 (0.0732),25.0
Habib Massoud,0.2359 (0.1687),0.6026 (0.4332),0.3390 (0.2428),26.0
Zaghloul,0.9320 (0.0332),0.9730 (0.0381),0.9508 (0.0076),25.0
Father Youhanna Habib Baysari,0.9722 (0.0393),0.5180 (0.2018),0.6533 (0.1743),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1111 (0.1571),0.0145 (0.0205),0.0256 (0.0363),23.0
Father Botros Hasan,0.4621 (0.1878),0.4817 (0.2366),0.4432 (0.1715),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.5950 (0.2410),0.5242 (0.2678),0.4947 (0.2132),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0404 (0.0571),0.0721 (0.1019),33.0
Jean Philipp Kmeid,0.5969 (0.1959),0.9617 (0.0335),0.7142 (0.1353),27.0
Michel Saykali,0.6002 (0.1345),1.0000 (0.0000),0.7413 (0.1047),14.0
Hanna Ghayth (Juan Gait),0.6436 (0.1318),0.8966 (0.0449),0.7385 (0.0870),13.0
Yousef Hobeiche,0.4341 (0.2838),0.9135 (0.0253),0.5388 (0.2362),17.0
Angele Ellis,0.2000 (0.2828),0.0370 (0.0524),0.0625 (0.0884),27.0
Khalil Yossuf Nader Raad,0.1879 (0.0273),1.0000 (0.0000),0.3154 (0.0393),22.0
Mansour Eid,0.7983 (0.1288),0.7447 (0.2080),0.7318 (0.0812),93.0
Mkhayel Meneem,0.8928 (0.0949),0.8400 (0.0566),0.8646 (0.0717),25.0
Constantine Elias,0.6752 (0.0855),0.4980 (0.2842),0.5377 (0.1863),17.0
Maurice Gemayel,0.1778 (0.1370),0.1414 (0.1407),0.1310 (0.1024),11.0
Murshid Habashi,0.6256 (0.0956),0.5466 (0.1499),0.5783 (0.1249),26.0
Michel Kahwaji,0.5393 (0.2771),0.9716 (0.0401),0.6460 (0.2138),141.0
Mayor of Kfarshima,0.2271 (0.0538),0.7434 (0.1823),0.3433 (0.0706),33.0
Sohayl Tohmeh,0.4010 (0.1053),0.7862 (0.1723),0.5279 (0.1227),36.0
Shukri Kanaan,0.6129 (0.2964),0.2727 (0.2268),0.2891 (0.2103),33.0
Emily Nasrallah,0.8773 (0.0902),1.0000 (0.0000),0.9322 (0.0502),11.0
Joseph Oussani,0.9754 (0.0178),0.9935 (0.0092),0.9842 (0.0113),153.0
Father Boulos El-Mender,0.2283 (0.2224),0.2356 (0.0253),0.1878 (0.1137),20.0
Salah Tizani,0.7416 (0.2359),0.9989 (0.0016),0.8273 (0.1752),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2346 (0.1666),0.2094 (0.2684),0.1753 (0.1996),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3595 (0.1504),0.7172 (0.3475),0.4775 (0.2116),31.0
Toufic El Bacha,0.6276 (0.0718),0.9132 (0.1055),0.7359 (0.0445),40.0
Catherine Yazbek Al-Badawi,0.2143 (0.3030),0.1765 (0.2496),0.1935 (0.2737),17.0
Youssef Fadlallah Salemeh,0.5152 (0.2107),0.7208 (0.2246),0.5445 (0.1428),60.0
Bishop Youssef Darian,0.4794 (0.3706),0.5268 (0.3800),0.4846 (0.3462),53.0
Youssef Hanna El-Sawda,0.7687 (0.1573),0.8884 (0.0802),0.8091 (0.0607),21.0
accuracy,0.6136 (0.0103),0.6136 (0.0103),0.6136 (0.0103),0.6198948645369996
macro avg,0.4482 (0.0492),0.4782 (0.0409),0.4072 (0.0420),2473.0
weighted avg,0.6387 (0.0232),0.6136 (0.0103),0.5826 (0.0082),2473.0
