Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.9630 (0.0524),0.7981 (0.2509),0.8557 (0.1863),20.0
Your son George,0.5352 (0.1874),0.6731 (0.1454),0.5564 (0.0531),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.6229 (0.2516),0.7976 (0.1777),0.6330 (0.0786),24.0
Shibli N. Damus,0.7239 (0.1444),0.6406 (0.2616),0.6291 (0.1814),103.0
Naoum Mokarzel,0.3333 (0.4714),0.0185 (0.0262),0.0351 (0.0496),18.0
Eissa alKhouri,0.9091 (0.1286),0.5069 (0.2963),0.5735 (0.2144),43.0
Girgi Dimitri Sursock,0.2063 (0.1472),0.1397 (0.1167),0.1587 (0.1188),7.0
Felix Faris,0.5484 (0.2993),0.6795 (0.0633),0.5577 (0.2486),151.0
May Ziadeh,0.0581 (0.0822),0.2273 (0.3214),0.0926 (0.1309),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.3472 (0.2972),0.2108 (0.1554),0.2325 (0.2184),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5000 (0.4082),0.0267 (0.0189),0.0503 (0.0356),25.0
Daoud Mujaes,0.1867 (0.2640),0.2593 (0.3666),0.2171 (0.3070),18.0
Bechara El Khoury,0.2000 (0.1633),0.2083 (0.1559),0.2031 (0.1586),8.0
Youssef Ibrahim Yazbek,0.1667 (0.2357),0.0333 (0.0471),0.0556 (0.0786),20.0
Elias Abu Shabaki,0.7283 (0.1939),0.7334 (0.0569),0.7103 (0.0586),49.0
Elie Maroun Khalil,0.3056 (0.2750),0.0544 (0.0484),0.0923 (0.0824),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Botros Feghaly,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Toufiq Wehbeh,0.5657 (0.3071),0.4593 (0.3838),0.3067 (0.2020),21.0
Bishop Mkhayel Akhrass,0.2439 (0.2802),0.1676 (0.1766),0.1977 (0.2171),17.0
George Saad,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),38.0
Bishop Aghnathios Mbarak,0.3526 (0.0706),0.5935 (0.1942),0.4118 (0.0216),15.0
Fathallah Khoury,0.1875 (0.2652),0.1500 (0.2121),0.1667 (0.2357),14.0
Elias Sarkis,0.3399 (0.0258),0.7686 (0.0578),0.4692 (0.0177),20.0
Fouad Chehab,0.9487 (0.0725),0.9016 (0.0817),0.9185 (0.0250),11.0
Hanna Moussa,0.6418 (0.2164),0.9388 (0.0248),0.7397 (0.1313),25.0
Habib Massoud,0.3000 (0.2197),0.4833 (0.3880),0.3509 (0.2485),26.0
Zaghloul,0.9212 (0.0256),0.9362 (0.0217),0.9282 (0.0110),25.0
Father Youhanna Habib Baysari,0.6915 (0.1945),0.4108 (0.1430),0.4707 (0.0426),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Father Botros Hasan,0.2123 (0.1642),0.2135 (0.1962),0.1837 (0.1340),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.3571 (0.3135),0.4829 (0.0537),0.3235 (0.1556),39.0
Father Mikhael Hanna,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Jean Philipp Kmeid,0.2938 (0.0941),0.7590 (0.2180),0.3895 (0.0508),27.0
Michel Saykali,0.3705 (0.1158),1.0000 (0.0000),0.5297 (0.1301),14.0
Hanna Ghayth (Juan Gait),0.3252 (0.1165),0.8744 (0.0370),0.4618 (0.1352),13.0
Yousef Hobeiche,0.4396 (0.1953),0.8814 (0.1000),0.5481 (0.1365),17.0
Angele Ellis,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),27.0
Khalil Yossuf Nader Raad,0.2593 (0.1247),0.8907 (0.1209),0.3906 (0.1552),22.0
Mansour Eid,0.6174 (0.2602),0.6146 (0.1796),0.5443 (0.1038),93.0
Mkhayel Meneem,0.7744 (0.1373),0.7067 (0.1147),0.7371 (0.1183),25.0
Constantine Elias,0.4681 (0.1352),0.3902 (0.2515),0.3414 (0.1853),17.0
Maurice Gemayel,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),11.0
Murshid Habashi,0.4530 (0.2332),0.3275 (0.1490),0.2929 (0.0652),26.0
Michel Kahwaji,0.3266 (0.2717),0.8387 (0.1267),0.3845 (0.2136),141.0
Mayor of Kfarshima,0.1753 (0.0583),0.6291 (0.2175),0.2723 (0.0876),33.0
Sohayl Tohmeh,0.2191 (0.0797),0.7045 (0.0859),0.3283 (0.0958),36.0
Shukri Kanaan,0.3535 (0.2973),0.1414 (0.1030),0.1996 (0.1506),33.0
Emily Nasrallah,0.6999 (0.1042),0.9697 (0.0429),0.8059 (0.0560),11.0
Joseph Oussani,0.9500 (0.0510),0.8784 (0.0559),0.9098 (0.0112),153.0
Father Boulos El-Mender,0.2168 (0.2711),0.0770 (0.0206),0.0727 (0.0508),20.0
Salah Tizani,0.5917 (0.2528),0.9803 (0.0211),0.6994 (0.2259),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
