Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.3333 (0.4714),0.1930 (0.2729),0.2444 (0.3457),19.0
Sister Victor N. Khoury,0.9841 (0.0224),0.7593 (0.3405),0.8035 (0.2609),20.0
Your son George,0.7446 (0.1172),0.9140 (0.1217),0.8074 (0.0744),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.3333 (0.2357),0.0337 (0.0242),0.0611 (0.0437),16.0
Bishop Boulos Akl,0.6364 (0.4515),0.2821 (0.3459),0.3254 (0.3639),16.0
Ameen Rihani,0.9167 (0.1179),0.8375 (0.1150),0.8717 (0.1022),24.0
Shibli N. Damus,0.8675 (0.1550),0.8746 (0.0993),0.8601 (0.0950),103.0
Naoum Mokarzel,0.8854 (0.0870),0.6889 (0.0437),0.7707 (0.0234),18.0
Eissa alKhouri,0.9732 (0.0215),0.8822 (0.1474),0.9169 (0.0787),43.0
Girgi Dimitri Sursock,0.2771 (0.0908),0.8571 (0.1166),0.4154 (0.1198),7.0
Felix Faris,0.7501 (0.1371),0.8942 (0.1143),0.7979 (0.0668),151.0
May Ziadeh,0.2821 (0.1664),0.6038 (0.3727),0.3751 (0.2305),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6930 (0.1876),0.6068 (0.1945),0.6031 (0.1363),78.0
Mohammed Amin al-Husseini ,0.5595 (0.4023),0.3050 (0.2842),0.3803 (0.3222),13.0
Prof. Ign. Kratchkovsky,0.0303 (0.0429),0.0256 (0.0363),0.0278 (0.0393),13.0
Ibrahim Mejahid Al-Jaza'eri,1.0000 (0.0000),0.5867 (0.3869),0.6420 (0.3997),25.0
Daoud Mujaes,0.7186 (0.1770),0.9630 (0.0524),0.8147 (0.1306),18.0
Bechara El Khoury,0.8030 (0.0689),0.7917 (0.1284),0.7961 (0.0996),8.0
Youssef Ibrahim Yazbek,0.9848 (0.0214),0.8167 (0.0943),0.8905 (0.0597),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.9932 (0.0096),0.9966 (0.0049),49.0
Elie Maroun Khalil,0.8971 (0.0476),1.0000 (0.0000),0.9451 (0.0264),22.0
Aziz Khoury,0.6667 (0.4714),0.0754 (0.0586),0.1346 (0.1030),14.0
Ghnatyos Mbarak,0.4722 (0.3356),0.0837 (0.0608),0.1420 (0.1028),21.0
Botros Feghaly,0.9167 (0.0680),0.6905 (0.1275),0.7778 (0.0786),24.0
Toufiq Wehbeh,0.9380 (0.0662),0.9787 (0.0198),0.9560 (0.0278),21.0
Bishop Mkhayel Akhrass,0.9080 (0.1300),0.8737 (0.1476),0.8745 (0.0893),17.0
George Saad,0.7724 (0.1403),0.8640 (0.1032),0.8044 (0.0746),38.0
Bishop Aghnathios Mbarak,0.5618 (0.1847),0.7117 (0.2304),0.6188 (0.1881),15.0
Fathallah Khoury,0.7786 (0.2441),0.9595 (0.0299),0.8388 (0.1756),14.0
Elias Sarkis,0.7708 (0.0601),0.9489 (0.0380),0.8502 (0.0512),20.0
Fouad Chehab,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Hanna Moussa,0.9271 (0.1031),0.9956 (0.0062),0.9568 (0.0564),25.0
Habib Massoud,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),26.0
Zaghloul,0.9833 (0.0161),0.9981 (0.0027),0.9906 (0.0080),25.0
Father Youhanna Habib Baysari,0.9861 (0.0196),0.8903 (0.0779),0.9331 (0.0326),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.2559 (0.2351),0.3188 (0.4205),0.2571 (0.3145),23.0
Father Botros Hasan,0.5298 (0.2345),0.8399 (0.1252),0.6187 (0.1821),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.5052 (0.2657),0.5940 (0.3660),0.5390 (0.3144),39.0
Father Mikhael Hanna,0.2222 (0.3143),0.1616 (0.2286),0.1871 (0.2646),33.0
Jean Philipp Kmeid,0.9701 (0.0059),0.9928 (0.0102),0.9812 (0.0022),27.0
Michel Saykali,0.6371 (0.2397),1.0000 (0.0000),0.7492 (0.1994),14.0
Hanna Ghayth (Juan Gait),0.8279 (0.0315),1.0000 (0.0000),0.9055 (0.0189),13.0
Yousef Hobeiche,0.8698 (0.0552),0.9041 (0.1357),0.8764 (0.0474),17.0
Angele Ellis,0.4713 (0.3159),0.5506 (0.3632),0.4786 (0.3231),27.0
Khalil Yossuf Nader Raad,0.5339 (0.2665),0.9057 (0.0967),0.6440 (0.2185),22.0
Mansour Eid,0.6498 (0.0752),0.9176 (0.1166),0.7498 (0.0150),93.0
Mkhayel Meneem,0.9867 (0.0189),0.9333 (0.0189),0.9589 (0.0008),25.0
Constantine Elias,0.6171 (0.1605),1.0000 (0.0000),0.7507 (0.1258),17.0
Maurice Gemayel,0.8697 (0.1299),0.8207 (0.0773),0.8363 (0.0682),11.0
Murshid Habashi,0.8614 (0.1377),0.9545 (0.0371),0.9016 (0.0943),26.0
Michel Kahwaji,0.7035 (0.3396),0.9243 (0.1070),0.7270 (0.2528),141.0
Mayor of Kfarshima,0.3655 (0.1146),0.6383 (0.3126),0.4594 (0.1795),33.0
Sohayl Tohmeh,0.8606 (0.0901),0.9815 (0.0262),0.9137 (0.0495),36.0
Shukri Kanaan,0.4230 (0.2676),0.2020 (0.0378),0.2578 (0.0811),33.0
Emily Nasrallah,0.9286 (0.1010),1.0000 (0.0000),0.9600 (0.0566),11.0
Joseph Oussani,1.0000 (0.0000),0.9814 (0.0179),0.9905 (0.0091),153.0
Father Boulos El-Mender,0.7015 (0.0947),0.5622 (0.2110),0.5902 (0.0938),20.0
Salah Tizani,0.9584 (0.0358),0.9989 (0.0016),0.9778 (0.0184),297.0
Father Elias Bassil,0.1333 (0.1886),0.1111 (0.1571),0.1212 (0.1714),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.0833 (0.1179),0.3333 (0.4714),0.1333 (0.1886),25.0
Asaad Koury Tobia Attallah,0.2167 (0.3064),0.2167 (0.3064),0.2167 (0.3064),10.0
Krouger Tobia Attallah,0.3278 (0.2329),0.6548 (0.4632),0.4364 (0.3090),31.0
Toufic El Bacha,0.6638 (0.1517),1.0000 (0.0000),0.7873 (0.1167),40.0
Catherine Yazbek Al-Badawi,0.6667 (0.4714),0.3922 (0.3125),0.4833 (0.3608),17.0
Youssef Fadlallah Salemeh,0.6178 (0.2016),0.8278 (0.2436),0.6534 (0.1601),60.0
Bishop Youssef Darian,0.5261 (0.3942),0.5660 (0.4188),0.5257 (0.3719),53.0
Youssef Hanna El-Sawda,0.6273 (0.2657),0.9218 (0.0570),0.7074 (0.1626),21.0
accuracy,0.7566 (0.0282),0.7566 (0.0282),0.7566 (0.0282),0.7533360291144359
macro avg,0.6474 (0.0105),0.6787 (0.0144),0.6282 (0.0018),2473.0
weighted avg,0.7718 (0.0274),0.7566 (0.0282),0.7418 (0.0243),2473.0
