Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.3000 (0.4243),0.1579 (0.2233),0.2069 (0.2926),19.0
Sister Victor N. Khoury,0.9841 (0.0224),0.7037 (0.4190),0.7252 (0.3715),20.0
Your son George,0.4391 (0.1773),0.9247 (0.1064),0.5613 (0.1389),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.5000 (0.4082),0.2821 (0.3459),0.3343 (0.3824),16.0
Ameen Rihani,0.8397 (0.1284),0.9247 (0.0809),0.8677 (0.0383),24.0
Shibli N. Damus,0.8565 (0.1228),0.9001 (0.0980),0.8661 (0.0532),103.0
Naoum Mokarzel,0.8322 (0.1199),0.5815 (0.1562),0.6822 (0.1478),18.0
Eissa alKhouri,0.8915 (0.0444),0.9055 (0.1146),0.8920 (0.0476),43.0
Girgi Dimitri Sursock,0.3715 (0.0750),0.9048 (0.0673),0.5240 (0.0865),7.0
Felix Faris,0.7107 (0.1941),0.9181 (0.0978),0.7783 (0.1311),151.0
May Ziadeh,0.2660 (0.2314),0.6154 (0.4397),0.3627 (0.2945),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6808 (0.2910),0.4809 (0.1653),0.5222 (0.1955),78.0
Mohammed Amin al-Husseini ,0.3716 (0.3113),0.4345 (0.3443),0.4000 (0.3266),13.0
Prof. Ign. Kratchkovsky,0.2063 (0.1472),0.1026 (0.0725),0.1368 (0.0969),13.0
Ibrahim Mejahid Al-Jaza'eri,0.9210 (0.0653),0.8400 (0.0980),0.8728 (0.0484),25.0
Daoud Mujaes,0.8770 (0.0975),0.9630 (0.0262),0.9156 (0.0621),18.0
Bechara El Khoury,0.5847 (0.1078),0.8542 (0.0780),0.6889 (0.0831),8.0
Youssef Ibrahim Yazbek,0.7873 (0.0460),0.7504 (0.1471),0.7629 (0.0873),20.0
Elias Abu Shabaki,0.9932 (0.0096),0.9376 (0.0742),0.9629 (0.0389),49.0
Elie Maroun Khalil,0.9848 (0.0214),0.9848 (0.0214),0.9845 (0.0110),22.0
Aziz Khoury,0.6667 (0.4714),0.1190 (0.1214),0.1926 (0.1862),14.0
Ghnatyos Mbarak,0.6196 (0.4049),0.1218 (0.0515),0.1884 (0.1002),21.0
Botros Feghaly,0.9630 (0.0524),0.6667 (0.0778),0.7847 (0.0584),24.0
Toufiq Wehbeh,0.9432 (0.0402),0.9836 (0.0232),0.9620 (0.0091),21.0
Bishop Mkhayel Akhrass,0.6628 (0.2425),0.7778 (0.3143),0.6065 (0.0851),17.0
George Saad,0.8612 (0.1015),0.7814 (0.0330),0.8173 (0.0575),38.0
Bishop Aghnathios Mbarak,0.7762 (0.1431),0.7953 (0.2895),0.7740 (0.2193),15.0
Fathallah Khoury,0.4747 (0.3036),0.6738 (0.4264),0.5481 (0.3468),14.0
Elias Sarkis,0.6190 (0.0673),0.9489 (0.0380),0.7466 (0.0466),20.0
Fouad Chehab,1.0000 (0.0000),0.9736 (0.0198),0.9865 (0.0101),11.0
Hanna Moussa,0.8422 (0.1199),0.9978 (0.0031),0.9087 (0.0693),25.0
Habib Massoud,0.7796 (0.1948),1.0000 (0.0000),0.8621 (0.1290),26.0
Zaghloul,0.9815 (0.0262),0.9961 (0.0054),0.9885 (0.0123),25.0
Father Youhanna Habib Baysari,0.9637 (0.0116),0.9048 (0.0460),0.9324 (0.0201),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1053 (0.1489),0.2609 (0.3689),0.1500 (0.2121),23.0
Father Botros Hasan,0.5395 (0.1638),0.7880 (0.2332),0.6387 (0.1879),19.0
Father Youssef Hajj,0.3333 (0.4714),0.0476 (0.0673),0.0833 (0.1179),21.0
Father Mkhayel Zreiby,0.4729 (0.3364),0.8291 (0.2065),0.5589 (0.3032),39.0
Father Mikhael Hanna,0.2941 (0.4159),0.1515 (0.2143),0.2000 (0.2828),33.0
Jean Philipp Kmeid,0.8310 (0.1636),0.9816 (0.0138),0.8895 (0.0989),27.0
Michel Saykali,0.6226 (0.0838),1.0000 (0.0000),0.7642 (0.0619),14.0
Hanna Ghayth (Juan Gait),0.8216 (0.0349),0.9744 (0.0363),0.8902 (0.0149),13.0
Yousef Hobeiche,0.6742 (0.2161),0.9176 (0.0585),0.7556 (0.1293),17.0
Angele Ellis,0.5556 (0.3425),0.1691 (0.0512),0.2530 (0.0982),27.0
Khalil Yossuf Nader Raad,0.5676 (0.2162),1.0000 (0.0000),0.7014 (0.1653),22.0
Mansour Eid,0.9310 (0.0975),0.8315 (0.2382),0.8488 (0.1403),93.0
Mkhayel Meneem,0.9694 (0.0219),0.8533 (0.0680),0.9065 (0.0439),25.0
Constantine Elias,0.7331 (0.0473),0.9833 (0.0236),0.8387 (0.0296),17.0
Maurice Gemayel,0.8308 (0.1275),0.8485 (0.1134),0.8270 (0.0577),11.0
Murshid Habashi,0.9588 (0.0327),0.9009 (0.0751),0.9266 (0.0362),26.0
Michel Kahwaji,0.6960 (0.1956),0.9905 (0.0134),0.7995 (0.1475),141.0
Mayor of Kfarshima,0.3134 (0.0506),0.6307 (0.2612),0.4129 (0.0992),33.0
Sohayl Tohmeh,0.6105 (0.0671),0.9470 (0.0376),0.7398 (0.0478),36.0
Shukri Kanaan,0.5420 (0.2637),0.3232 (0.1824),0.3658 (0.1389),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9796 (0.0170),0.9821 (0.0140),0.9806 (0.0016),153.0
Father Boulos El-Mender,0.3323 (0.3901),0.2045 (0.2185),0.2513 (0.2817),20.0
Salah Tizani,0.8761 (0.0988),0.9989 (0.0016),0.9303 (0.0574),297.0
Father Elias Bassil,0.1667 (0.2357),0.0278 (0.0393),0.0476 (0.0673),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2965 (0.0477),0.5600 (0.3217),0.3577 (0.0959),25.0
Asaad Koury Tobia Attallah,0.3333 (0.4714),0.1333 (0.1886),0.1905 (0.2694),10.0
Krouger Tobia Attallah,0.3669 (0.2093),0.6250 (0.3992),0.4600 (0.2782),31.0
Toufic El Bacha,0.8037 (0.0691),1.0000 (0.0000),0.8895 (0.0435),40.0
Catherine Yazbek Al-Badawi,0.8519 (0.1386),0.2941 (0.1441),0.4233 (0.1710),17.0
Youssef Fadlallah Salemeh,0.7061 (0.3258),0.8482 (0.1089),0.6955 (0.2135),60.0
Bishop Youssef Darian,0.5778 (0.4122),0.5779 (0.4131),0.5740 (0.4059),53.0
Youssef Hanna El-Sawda,0.7139 (0.2134),0.8949 (0.0427),0.7739 (0.1219),21.0
accuracy,0.7583 (0.0229),0.7583 (0.0229),0.7583 (0.0229),0.7618277395875455
macro avg,0.6332 (0.0070),0.6688 (0.0107),0.6123 (0.0027),2473.0
weighted avg,0.7669 (0.0224),0.7583 (0.0229),0.7367 (0.0228),2473.0
