seed,writer,splits,pages_total,lines_total
570,Abd al-Hajj,"train,val",2,27
570,Abd al-Khaliq Farid,"test,train",2,53
570,Abdallah Daher,train,1,13
570,Abdallah Sfeir,train,1,20
570,Abdo Fares,train,1,17
570,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,"test,train,val",20,270
570,Adham Al Jundi,train,1,15
570,Adib Shiha,train,1,24
570,Ahmed Shakir alKarmi,train,1,15
570,Ameen Rihani,"test,train,val",43,949
570,Amin Farhat,"test,train,val",3,66
570,Angele Ellis,"test,train,val",4,75
570,Antoine Richa,train,1,25
570,Antonios Elias,train,1,19
570,Asaad Koury Tobia Attallah,"test,train,val",3,42
570,Assad Al-Khoury,train,1,20
570,Assad Darouich Zacharias,"test,train,val",5,94
570,Aziz Khoury,"test,train,val",3,47
570,Bechara El Khoury,"test,train,val",6,107
570,Bishara Mar'i Mansour,"test,train",2,42
570,Bishop Aghnathios Mbarak,"test,train,val",9,163
570,Bishop Antoun Jbeir,train,1,21
570,Bishop Boulos Akl,"test,train,val",3,47
570,Bishop Mkhayel Akhrass,"test,train,val",5,93
570,Bishop Youseef El Khazen,train,1,22
570,Bishop Youssef Darian,"test,train,val",9,163
570,Botros El Kfouny,train,1,16
570,Botros Feghaly,"test,train,val",3,66
570,Brother Ibrahim,train,1,15
570,Brother of Joseph Oussani,train,1,28
570,Catherine Yazbek Al-Badawi,"test,train,val",4,67
570,Constantine Elias,"test,train,val",5,84
570,Dani Al-Sibaqa,train,1,24
570,Daoud Mujaes,"test,train,val",4,76
570,Daud Barkaat,train,1,19
570,Dr. Abdo Harb,train,1,22
570,Eissa alKhouri,"test,train,val",6,127
570,Elia Abu Madi,"test,train",2,35
570,Elias Abdallah,train,1,20
570,Elias Abu Shabaki,"test,train,val",8,132
570,Elias Asaf,"train,val",2,53
570,Elias Karbaj,"test,train",2,32
570,Elias Sarkis,"test,train,val",18,325
570,Elie Maroun Khalil,"test,train,val",4,69
570,Emily Nasrallah,"test,train,val",48,602
570,Estephan Adib Salloum,"train,val",2,53
570,Fathallah Khoury,"test,train,val",4,73
570,Father Botros Dib,train,1,25
570,Father Botros Hasan,"test,train,val",6,128
570,Father Boulos El-Mender,"test,train,val",10,171
570,Father Boutros Chidiac,train,1,14
570,Father Elias,train,1,10
570,Father Elias Abi Khair,train,1,26
