seed,writer,splits,pages_total,lines_total
1073,Abd al-Hajj,"test,train",2,27
1073,Abd al-Khaliq Farid,"test,train",2,53
1073,Abdallah Daher,train,1,13
1073,Abdallah Sfeir,train,1,20
1073,Abdo Fares,train,1,17
1073,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,"test,train,val",20,270
1073,Adham Al Jundi,train,1,15
1073,Adib Shiha,train,1,24
1073,Ahmed Shakir alKarmi,train,1,15
1073,Ameen Rihani,"test,train,val",43,949
1073,Amin Farhat,"test,train,val",3,66
1073,Angele Ellis,"test,train,val",4,75
1073,Antoine Richa,train,1,25
1073,Antonios Elias,train,1,19
1073,Asaad Koury Tobia Attallah,"test,train,val",3,42
1073,Assad Al-Khoury,train,1,20
1073,Assad Darouich Zacharias,"test,train,val",5,94
1073,Aziz Khoury,"test,train,val",3,47
1073,Bechara El Khoury,"test,train,val",6,107
1073,Bishara Mar'i Mansour,"train,val",2,42
1073,Bishop Aghnathios Mbarak,"test,train,val",9,163
1073,Bishop Antoun Jbeir,train,1,21
1073,Bishop Boulos Akl,"test,train,val",3,47
1073,Bishop Mkhayel Akhrass,"test,train,val",5,93
1073,Bishop Youseef El Khazen,train,1,22
1073,Bishop Youssef Darian,"test,train,val",9,163
1073,Botros El Kfouny,train,1,16
1073,Botros Feghaly,"test,train,val",3,66
1073,Brother Ibrahim,train,1,15
1073,Brother of Joseph Oussani,train,1,28
1073,Catherine Yazbek Al-Badawi,"test,train,val",4,67
1073,Constantine Elias,"test,train,val",5,84
1073,Dani Al-Sibaqa,train,1,24
1073,Daoud Mujaes,"test,train,val",4,76
1073,Daud Barkaat,train,1,19
1073,Dr. Abdo Harb,train,1,22
1073,Eissa alKhouri,"test,train,val",6,127
1073,Elia Abu Madi,"train,val",2,35
1073,Elias Abdallah,train,1,20
1073,Elias Abu Shabaki,"test,train,val",8,132
1073,Elias Asaf,"test,train",2,53
1073,Elias Karbaj,"test,train",2,32
1073,Elias Sarkis,"test,train,val",18,325
1073,Elie Maroun Khalil,"test,train,val",4,69
1073,Emily Nasrallah,"test,train,val",48,602
1073,Estephan Adib Salloum,"test,train",2,53
1073,Fathallah Khoury,"test,train,val",4,73
1073,Father Botros Dib,train,1,25
1073,Father Botros Hasan,"test,train,val",6,128
1073,Father Boulos El-Mender,"test,train,val",10,171
1073,Father Boutros Chidiac,train,1,14
1073,Father Elias,train,1,10
1073,Father Elias Abi Khair,train,1,26
1073,Father Elias Bassil,"test,train,val",3,50
1073,Father Elias Najm,"test,train",2,53
1073,Father Jerjes El Alam,train,1,20
1073,Father Mikhael Hanna,"test,train,val",4,71
1073,Father Mkhayel Zreiby,"test,train,val",9,200
1073,Father Tobia al-Issa,"test,train,val",3,37
1073,Father Yaacoub Awad,train,1,19
1073,Father Youhanna El Khoury,"test,train",2,32
1073,Father Youhanna Habib Baysari,"test,train,val",9,198
1073,Father Yousef,train,1,17
1073,Father Youssef Hajj,"test,train,val",3,63
1073,Father Youssef Hanna,"test,train",2,46
1073,Father Youssef Hanna & Father Botros Hasan,"test,train,val",3,63
1073,Father Youssef Iskandar,train,1,23
1073,Father Youssef Nassar,train,1,16
1073,Felix Faris,"test,train,val",27,480
1073,Fouad Chehab,"test,train,val",21,264
1073,Francis Hcheme,train,1,21
1073,Francis Lahoud,train,1,20
1073,George Saad,"test,train,val",7,111
1073,Georges Jarjoura,train,1,15
1073,Ghnatyos Mbarak,"test,train,val",5,95
1073,Girgi Dimitri Sursock,"test,train,val",8,100
1073,Habib,train,1,18
1073,Habib Abdallah al-Khoury,train,1,22
1073,Habib Abi Rached,train,1,21
1073,Habib Boulos Nasr,train,1,20
1073,Habib Massoud,"test,train,val",5,100
1073,Halim Khoury Saadeh,"test,train",2,44
1073,Hanna Estphan,"train,val",2,34
1073,Hanna Ghayth (Juan Gait),"test,train,val",68,934
1073,Hanna Moussa,"test,train,val",41,876
1073,Hanna Younes Abboud,train,1,20
1073,Hassan Khalil,"train,val",2,40
1073,Ibrahim Mejahid Al-Jaza'eri,"test,train,val",3,62
1073,Jamil Youssef Noah,"test,train",2,28
1073,Jarhas Hanna Al-Shabtini,train,1,17
1073,Jean Philipp Kmeid,"test,train,val",24,532
1073,Jebrayel Sa'd al 'Alam,train,1,19
1073,JerJi Ass'ad Nader,train,1,14
1073,Jerji Nicola Khattar al-Chuayri,"train,val",2,29
1073,Jirjis Yuhanna Basil ,train,1,17
1073,Jirjis alKsus,"test,train",2,26
1073,Joseph,"train,val",2,34
1073,Joseph Oussani,"test,train,val",16,400
1073,K. John,train,1,15
1073,Keserwan Finance Officer,train,1,14
1073,Khalil Yossuf Nader Raad,"test,train,val",22,453
1073,Krouger Tobia Attallah,"test,train,val",14,401
1073,Lebanese immigrants,"train,val",2,35
1073,Magistrate of Batroun,train,1,17
1073,Malvina Choieree,train,1,20
1073,Mansour Eid,"test,train,val",12,271
1073,Margaret El Haddad,"train,val",2,40
1073,Maronite Bishop of Sidon,"train,val",2,38
1073,Maronite children of Akkar district,train,1,12
1073,Maroun Al-Khoury Maroun,"test,train",2,37
1073,Mary Khoury,train,1,15
1073,Maurice Gemayel,"test,train,val",6,67
1073,Maurice Paul Sarrail,"train,val",2,37
1073,May Ziadeh,"test,train,val",12,202
1073,Mayor of Kfarshima,"test,train,val",13,426
1073,Michel Kahwaji,"test,train,val",25,412
1073,Michel Saykali,"test,train,val",45,791
1073,Mkhayel & Ibrahim Daher,"train,val",2,36
1073,Mkhayel Daher,"test,train,val",3,73
1073,Mkhayel Meneem,"test,train,val",5,123
1073,Mohammed Amin al-Husseini ,"test,train,val",3,49
1073,Mousssa Farhat Farah,train,1,14
1073,Muhammad Hussain Najafi,"test,train",2,32
1073,Muhawwel Harouh,train,1,16
1073,Murshid Habashi,"test,train,val",4,96
1073,Nadim Attallah,train,1,26
1073,Najib Ayoub,"train,val",2,40
1073,Naoum Mokarzel,"test,train,val",3,58
1073,Nassar Tanios Al Samarani,train,1,17
1073,Nassif Mansour,train,1,14
1073,Negib Aboussouan,train,1,24
1073,Nehad,"train,val",2,18
1073,Nehme Elias Mikhail,train,1,12
1073,Patriarch Elias Hoayek,"test,train,val",4,68
1073,People of Rablah,train,1,15
1073,Peter the Patriarch of Antioch,train,1,24
1073,Prof. Ign. Kratchkovsky,"test,train,val",6,89
1073,Rahma Raad,train,1,14
