Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2595 (0.3049),0.2105 (0.2614),0.2317 (0.2819),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.3574 (0.3599),0.4275 (0.3779),20.0
Your son George,0.5729 (0.2408),0.8399 (0.1154),0.6327 (0.1030),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0256 (0.0363),0.0476 (0.0673),16.0
Ameen Rihani,0.8121 (0.1332),0.9226 (0.0838),0.8501 (0.0370),24.0
Shibli N. Damus,0.6782 (0.2553),0.6133 (0.2799),0.5338 (0.1728),103.0
Naoum Mokarzel,0.5417 (0.4125),0.2000 (0.1472),0.2919 (0.2167),18.0
Eissa alKhouri,0.6176 (0.2179),0.6811 (0.2660),0.5839 (0.1441),43.0
Girgi Dimitri Sursock,0.3010 (0.2337),0.6698 (0.1392),0.3534 (0.2008),7.0
Felix Faris,0.6059 (0.2659),0.8694 (0.1089),0.6588 (0.1977),151.0
May Ziadeh,0.1378 (0.0723),0.4756 (0.2991),0.2108 (0.1194),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4214 (0.2433),0.4556 (0.2063),0.3993 (0.2270),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0167 (0.0236),0.0256 (0.0363),0.0202 (0.0286),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6120 (0.4331),0.4400 (0.3116),0.5115 (0.3617),25.0
Daoud Mujaes,0.4280 (0.3290),0.5741 (0.4066),0.4848 (0.3554),18.0
Bechara El Khoury,0.4594 (0.1320),0.5833 (0.1932),0.4704 (0.0995),8.0
Youssef Ibrahim Yazbek,0.7512 (0.0607),0.5679 (0.3062),0.5862 (0.2379),20.0
Elias Abu Shabaki,0.9333 (0.0943),0.7982 (0.0947),0.8505 (0.0232),49.0
Elie Maroun Khalil,0.8704 (0.0944),0.8980 (0.0413),0.8791 (0.0311),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.4192 (0.4119),0.0471 (0.0162),0.0679 (0.0108),21.0
Botros Feghaly,0.6667 (0.4714),0.0615 (0.0600),0.1100 (0.1042),24.0
Toufiq Wehbeh,0.7597 (0.1466),0.9247 (0.0766),0.8195 (0.0552),21.0
Bishop Mkhayel Akhrass,0.8371 (0.1788),0.6177 (0.2809),0.6330 (0.1791),17.0
George Saad,0.8500 (0.2121),0.3483 (0.2815),0.4395 (0.2981),38.0
Bishop Aghnathios Mbarak,0.6415 (0.1039),0.7556 (0.2998),0.6584 (0.1777),15.0
Fathallah Khoury,0.7569 (0.1313),0.6619 (0.2691),0.6932 (0.2220),14.0
Elias Sarkis,0.7309 (0.0777),0.9489 (0.0380),0.8249 (0.0638),20.0
Fouad Chehab,0.8924 (0.1134),0.9930 (0.0099),0.9357 (0.0634),11.0
Hanna Moussa,0.9444 (0.0511),0.9923 (0.0109),0.9668 (0.0238),25.0
Habib Massoud,0.5760 (0.2198),0.7783 (0.2611),0.5791 (0.0651),26.0
Zaghloul,0.9815 (0.0262),0.9904 (0.0136),0.9856 (0.0117),25.0
Father Youhanna Habib Baysari,0.8324 (0.1766),0.7981 (0.1011),0.7941 (0.0764),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.3333 (0.4714),0.0145 (0.0205),0.0278 (0.0393),23.0
Father Botros Hasan,0.3663 (0.0792),0.5475 (0.1288),0.4175 (0.0372),19.0
Father Youssef Hajj,0.3333 (0.4714),0.0952 (0.1347),0.1481 (0.2095),21.0
Father Mkhayel Zreiby,0.4278 (0.1450),0.6709 (0.1222),0.5118 (0.1317),39.0
Father Mikhael Hanna,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Jean Philipp Kmeid,0.8955 (0.0778),0.9855 (0.0205),0.9358 (0.0364),27.0
Michel Saykali,0.6333 (0.0471),1.0000 (0.0000),0.7745 (0.0361),14.0
Hanna Ghayth (Juan Gait),0.4805 (0.0642),0.9861 (0.0196),0.6430 (0.0563),13.0
Yousef Hobeiche,0.5133 (0.1983),0.9396 (0.0499),0.6374 (0.1406),17.0
Angele Ellis,0.4167 (0.3118),0.0617 (0.0462),0.1075 (0.0805),27.0
Khalil Yossuf Nader Raad,0.2760 (0.0777),1.0000 (0.0000),0.4266 (0.0976),22.0
Mansour Eid,0.8030 (0.1190),0.7954 (0.2279),0.7605 (0.0954),93.0
Mkhayel Meneem,0.8998 (0.0764),0.8267 (0.1050),0.8525 (0.0380),25.0
Constantine Elias,0.5535 (0.0700),0.6520 (0.3086),0.5753 (0.1839),17.0
Maurice Gemayel,0.0538 (0.0760),0.1389 (0.1964),0.0775 (0.1096),11.0
Murshid Habashi,0.7889 (0.1931),0.7389 (0.0520),0.7530 (0.1136),26.0
Michel Kahwaji,0.5140 (0.2103),0.9504 (0.0702),0.6336 (0.1399),141.0
Mayor of Kfarshima,0.4059 (0.0827),0.6708 (0.2467),0.5025 (0.1345),33.0
Sohayl Tohmeh,0.6989 (0.1358),0.8923 (0.1204),0.7794 (0.1179),36.0
Shukri Kanaan,0.7109 (0.2430),0.4646 (0.0143),0.5451 (0.0843),33.0
Emily Nasrallah,0.9722 (0.0393),1.0000 (0.0000),0.9855 (0.0205),11.0
Joseph Oussani,0.8914 (0.1234),0.9764 (0.0211),0.9259 (0.0634),153.0
Father Boulos El-Mender,0.5630 (0.1139),0.5928 (0.1949),0.5395 (0.0371),20.0
Salah Tizani,0.9111 (0.0798),0.9988 (0.0016),0.9511 (0.0447),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2688 (0.1757),0.4055 (0.1746),0.3098 (0.1750),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.4874 (0.0948),0.6973 (0.2812),0.5492 (0.1549),31.0
Toufic El Bacha,0.4820 (0.2051),0.9667 (0.0236),0.6176 (0.1738),40.0
Catherine Yazbek Al-Badawi,0.3000 (0.4243),0.1765 (0.2496),0.2222 (0.3143),17.0
Youssef Fadlallah Salemeh,0.6362 (0.2538),0.8514 (0.1477),0.6795 (0.1829),60.0
Bishop Youssef Darian,0.5002 (0.3672),0.5031 (0.4083),0.4719 (0.3378),53.0
Youssef Hanna El-Sawda,0.6458 (0.2055),0.8772 (0.0912),0.7098 (0.1308),21.0
accuracy,0.6729 (0.0309),0.6729 (0.0309),0.6729 (0.0309),0.64941366761019
macro avg,0.5165 (0.0089),0.5578 (0.0181),0.4874 (0.0181),2473.0
weighted avg,0.6916 (0.0337),0.6729 (0.0309),0.6464 (0.0331),2473.0
