Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2889 (0.4086),0.2281 (0.3225),0.2549 (0.3605),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.9074 (0.1309),0.9462 (0.0760),20.0
Your son George,0.5474 (0.1799),0.9355 (0.0912),0.6624 (0.1160),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.3333 (0.4714),0.0185 (0.0262),0.0351 (0.0496),16.0
Bishop Boulos Akl,0.6667 (0.4714),0.2821 (0.2968),0.3616 (0.3407),16.0
Ameen Rihani,0.8890 (0.0908),0.9458 (0.0766),0.9094 (0.0297),24.0
Shibli N. Damus,0.8572 (0.1120),0.9288 (0.1007),0.8797 (0.0397),103.0
Naoum Mokarzel,0.8908 (0.0908),0.6630 (0.1981),0.7492 (0.1632),18.0
Eissa alKhouri,0.9568 (0.0321),0.9147 (0.1206),0.9288 (0.0536),43.0
Girgi Dimitri Sursock,0.2976 (0.0482),0.9048 (0.0673),0.4458 (0.0581),7.0
Felix Faris,0.7527 (0.1572),0.9028 (0.1024),0.8033 (0.0916),151.0
May Ziadeh,0.2755 (0.2109),0.6002 (0.4267),0.3750 (0.2785),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7265 (0.2928),0.4259 (0.1409),0.5055 (0.1721),78.0
Mohammed Amin al-Husseini ,0.3125 (0.4419),0.2632 (0.3722),0.2857 (0.4041),13.0
Prof. Ign. Kratchkovsky,0.1022 (0.0985),0.1282 (0.1307),0.1136 (0.1124),13.0
Ibrahim Mejahid Al-Jaza'eri,0.8859 (0.0908),0.6800 (0.2551),0.7242 (0.1718),25.0
Daoud Mujaes,0.8383 (0.0415),0.9259 (0.0693),0.8766 (0.0154),18.0
Bechara El Khoury,0.5114 (0.1315),0.8333 (0.0589),0.6197 (0.1048),8.0
Youssef Ibrahim Yazbek,0.8132 (0.0836),0.6937 (0.1847),0.7236 (0.0805),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.9747 (0.0229),0.9870 (0.0118),49.0
Elie Maroun Khalil,0.9848 (0.0214),1.0000 (0.0000),0.9922 (0.0110),22.0
Aziz Khoury,0.6667 (0.4714),0.1905 (0.1782),0.2833 (0.2461),14.0
Ghnatyos Mbarak,0.6667 (0.4714),0.0746 (0.0585),0.1333 (0.1027),21.0
Botros Feghaly,0.9111 (0.0685),0.5833 (0.1194),0.7039 (0.0874),24.0
Toufiq Wehbeh,0.9183 (0.0578),0.9891 (0.0155),0.9509 (0.0229),21.0
Bishop Mkhayel Akhrass,0.7527 (0.1869),0.9206 (0.1122),0.8011 (0.0671),17.0
George Saad,0.7960 (0.1468),0.8271 (0.0412),0.8072 (0.0910),38.0
Bishop Aghnathios Mbarak,0.6796 (0.0674),0.8070 (0.2729),0.7244 (0.1660),15.0
Fathallah Khoury,0.6171 (0.1835),0.7690 (0.2920),0.6798 (0.2271),14.0
Elias Sarkis,0.6492 (0.2501),0.9489 (0.0380),0.7432 (0.1601),20.0
Fouad Chehab,1.0000 (0.0000),0.9806 (0.0204),0.9901 (0.0105),11.0
Hanna Moussa,0.8127 (0.1209),0.9978 (0.0031),0.8908 (0.0697),25.0
Habib Massoud,0.7843 (0.1886),1.0000 (0.0000),0.8661 (0.1236),26.0
Zaghloul,0.9739 (0.0228),0.9961 (0.0054),0.9847 (0.0117),25.0
Father Youhanna Habib Baysari,0.9651 (0.0096),0.9310 (0.0975),0.9445 (0.0483),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1579 (0.2233),0.2609 (0.3689),0.1967 (0.2782),23.0
Father Botros Hasan,0.6042 (0.1640),0.7463 (0.2629),0.6660 (0.2068),19.0
Father Youssef Hajj,0.3333 (0.4714),0.1270 (0.1796),0.1839 (0.2601),21.0
Father Mkhayel Zreiby,0.4765 (0.3449),0.8291 (0.2065),0.5595 (0.3011),39.0
Father Mikhael Hanna,0.3137 (0.4437),0.1616 (0.2286),0.2133 (0.3017),33.0
Jean Philipp Kmeid,0.7884 (0.1758),0.9436 (0.0578),0.8425 (0.1015),27.0
Michel Saykali,0.7254 (0.0440),1.0000 (0.0000),0.8401 (0.0299),14.0
Hanna Ghayth (Juan Gait),0.8941 (0.1226),1.0000 (0.0000),0.9394 (0.0717),13.0
Yousef Hobeiche,0.8461 (0.1083),0.9257 (0.1051),0.8721 (0.0387),17.0
Angele Ellis,0.6296 (0.3810),0.2556 (0.1141),0.3553 (0.1869),27.0
Khalil Yossuf Nader Raad,0.5162 (0.1633),0.9848 (0.0214),0.6596 (0.1528),22.0
Mansour Eid,0.9528 (0.0248),0.8423 (0.2230),0.8741 (0.1338),93.0
Mkhayel Meneem,0.9556 (0.0032),0.8667 (0.0680),0.9077 (0.0382),25.0
Constantine Elias,0.7045 (0.0470),0.9833 (0.0236),0.8193 (0.0255),17.0
Maurice Gemayel,0.8885 (0.0394),0.9394 (0.0429),0.9129 (0.0370),11.0
