Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2593 (0.3666),0.2456 (0.3474),0.2523 (0.3567),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.5667 (0.4190),0.6078 (0.4358),20.0
Your son George,0.5493 (0.1507),0.7969 (0.1760),0.6130 (0.0650),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.1667 (0.2357),0.0417 (0.0589),0.0667 (0.0943),16.0
Ameen Rihani,0.7994 (0.1384),0.8074 (0.1966),0.7678 (0.0534),24.0
Shibli N. Damus,0.7652 (0.1467),0.7591 (0.2425),0.7104 (0.0863),103.0
Naoum Mokarzel,0.9333 (0.0943),0.2574 (0.1450),0.3834 (0.1809),18.0
Eissa alKhouri,0.9064 (0.0640),0.8282 (0.1425),0.8542 (0.0616),43.0
Girgi Dimitri Sursock,0.3365 (0.1353),0.5540 (0.1301),0.4055 (0.1302),7.0
Felix Faris,0.6335 (0.2343),0.8493 (0.0859),0.6843 (0.1606),151.0
May Ziadeh,0.1608 (0.1363),0.4522 (0.3395),0.2357 (0.1934),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5724 (0.3301),0.4037 (0.0908),0.4414 (0.2037),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0256 (0.0363),0.0256 (0.0363),0.0256 (0.0363),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5042 (0.3594),0.3600 (0.2551),0.4188 (0.2962),25.0
Daoud Mujaes,0.6296 (0.4475),0.4259 (0.3405),0.5006 (0.3768),18.0
Bechara El Khoury,0.3352 (0.0811),0.5625 (0.1531),0.4199 (0.1062),8.0
Youssef Ibrahim Yazbek,0.5937 (0.1383),0.2778 (0.1712),0.3599 (0.1771),20.0
Elias Abu Shabaki,0.8967 (0.0751),0.8647 (0.0970),0.8758 (0.0550),49.0
Elie Maroun Khalil,0.7963 (0.2144),0.6047 (0.1585),0.6867 (0.1801),22.0
Aziz Khoury,0.3333 (0.4714),0.0238 (0.0337),0.0444 (0.0629),14.0
Ghnatyos Mbarak,0.0937 (0.0940),0.0540 (0.0399),0.0653 (0.0545),21.0
Botros Feghaly,0.3333 (0.4714),0.0139 (0.0196),0.0267 (0.0377),24.0
Toufiq Wehbeh,0.6903 (0.1793),0.7457 (0.2977),0.6434 (0.1573),21.0
Bishop Mkhayel Akhrass,0.5340 (0.1710),0.7514 (0.2018),0.5720 (0.0904),17.0
George Saad,0.7775 (0.0453),0.3929 (0.1176),0.5072 (0.1010),38.0
Bishop Aghnathios Mbarak,0.5327 (0.1682),0.7929 (0.1588),0.5974 (0.0723),15.0
Fathallah Khoury,0.5472 (0.3674),0.3905 (0.2399),0.4316 (0.2466),14.0
Elias Sarkis,0.5285 (0.1378),0.8114 (0.1318),0.6359 (0.1322),20.0
Fouad Chehab,0.9286 (0.1010),0.9577 (0.0396),0.9380 (0.0433),11.0
Hanna Moussa,0.7878 (0.1728),0.9790 (0.0297),0.8599 (0.1001),25.0
Habib Massoud,0.3990 (0.2934),0.6282 (0.4467),0.4821 (0.3440),26.0
Zaghloul,0.9288 (0.0290),0.9923 (0.0109),0.9591 (0.0111),25.0
Father Youhanna Habib Baysari,0.8083 (0.1375),0.7024 (0.1260),0.7411 (0.0863),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1026 (0.1450),0.0580 (0.0820),0.0741 (0.1048),23.0
Father Botros Hasan,0.4583 (0.2163),0.4817 (0.1875),0.4637 (0.2039),19.0
Father Youssef Hajj,0.3333 (0.4714),0.0952 (0.1347),0.1481 (0.2095),21.0
Father Mkhayel Zreiby,0.3959 (0.2423),0.7222 (0.1309),0.4774 (0.2037),39.0
Father Mikhael Hanna,0.2857 (0.4041),0.1212 (0.1714),0.1702 (0.2407),33.0
Jean Philipp Kmeid,0.5208 (0.1796),0.9041 (0.0859),0.6322 (0.1268),27.0
Michel Saykali,0.5575 (0.0785),0.9762 (0.0337),0.7068 (0.0661),14.0
Hanna Ghayth (Juan Gait),0.4014 (0.1516),1.0000 (0.0000),0.5571 (0.1453),13.0
Yousef Hobeiche,0.5164 (0.1745),0.8875 (0.0782),0.6265 (0.1036),17.0
Angele Ellis,0.1086 (0.0993),0.1111 (0.0907),0.1092 (0.0946),27.0
Khalil Yossuf Nader Raad,0.4301 (0.1261),0.9663 (0.0242),0.5851 (0.1315),22.0
Mansour Eid,0.7039 (0.1710),0.7881 (0.2083),0.6951 (0.0420),93.0
Mkhayel Meneem,0.9658 (0.0242),0.7867 (0.0680),0.8663 (0.0506),25.0
Constantine Elias,0.6446 (0.0630),0.8500 (0.1780),0.7215 (0.0817),17.0
Maurice Gemayel,0.5275 (0.3435),0.4697 (0.1500),0.3968 (0.0861),11.0
