Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.3148 (0.4452),0.2982 (0.4218),0.3063 (0.4332),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.6667 (0.4714),0.6667 (0.4714),20.0
Your son George,0.4347 (0.0370),0.9025 (0.0947),0.5841 (0.0373),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1667 (0.2357),0.0185 (0.0262),0.0333 (0.0471),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0513 (0.0725),0.0889 (0.1257),16.0
Ameen Rihani,0.8986 (0.0924),0.8882 (0.1318),0.8801 (0.0489),24.0
Shibli N. Damus,0.8241 (0.2159),0.8876 (0.0845),0.8374 (0.1374),103.0
Naoum Mokarzel,0.9021 (0.0926),0.4630 (0.1332),0.6006 (0.1161),18.0
Eissa alKhouri,0.8876 (0.0746),0.9210 (0.0928),0.9034 (0.0804),43.0
Girgi Dimitri Sursock,0.2522 (0.0525),0.8571 (0.1166),0.3891 (0.0737),7.0
Felix Faris,0.7235 (0.2190),0.8857 (0.1388),0.7597 (0.1374),151.0
May Ziadeh,0.2319 (0.2520),0.4231 (0.3591),0.2884 (0.3019),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.7125 (0.1798),0.6262 (0.2422),0.6045 (0.1469),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.1204 (0.1023),0.1026 (0.0959),0.1103 (0.0989),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5952 (0.4299),0.5733 (0.4057),0.5811 (0.4123),25.0
Daoud Mujaes,0.6664 (0.0821),0.9259 (0.0262),0.7732 (0.0658),18.0
Bechara El Khoury,0.7306 (0.1933),0.8542 (0.0780),0.7639 (0.0679),8.0
Youssef Ibrahim Yazbek,0.9596 (0.0286),0.6488 (0.0748),0.7712 (0.0499),20.0
Elias Abu Shabaki,0.9577 (0.0306),0.9679 (0.0235),0.9622 (0.0142),49.0
Elie Maroun Khalil,0.9286 (0.1010),0.8110 (0.2064),0.8603 (0.1650),22.0
Aziz Khoury,0.6667 (0.4714),0.0794 (0.0683),0.1397 (0.1167),14.0
Ghnatyos Mbarak,0.2738 (0.2339),0.0725 (0.0841),0.1115 (0.1248),21.0
Botros Feghaly,0.8074 (0.0637),0.4603 (0.1995),0.5602 (0.1889),24.0
Toufiq Wehbeh,0.7842 (0.1014),0.9841 (0.0224),0.8696 (0.0648),21.0
Bishop Mkhayel Akhrass,0.8000 (0.1440),0.7106 (0.3685),0.7040 (0.2927),17.0
George Saad,0.8320 (0.1020),0.6681 (0.0637),0.7408 (0.0785),38.0
Bishop Aghnathios Mbarak,0.5648 (0.0855),0.6444 (0.1957),0.5913 (0.1266),15.0
Fathallah Khoury,0.9101 (0.0636),0.8929 (0.0662),0.8967 (0.0065),14.0
Elias Sarkis,0.6983 (0.1364),0.9489 (0.0380),0.7988 (0.1019),20.0
Fouad Chehab,0.9779 (0.0186),0.9965 (0.0050),0.9870 (0.0097),11.0
Hanna Moussa,0.9989 (0.0016),0.9934 (0.0094),0.9961 (0.0055),25.0
Habib Massoud,0.9556 (0.0629),0.9314 (0.0971),0.9379 (0.0473),26.0
Zaghloul,1.0000 (0.0000),0.9942 (0.0082),0.9971 (0.0041),25.0
Father Youhanna Habib Baysari,0.9467 (0.0377),0.9598 (0.0569),0.9508 (0.0106),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.3600 (0.2790),0.2754 (0.3298),0.2837 (0.3059),23.0
Father Botros Hasan,0.5067 (0.1269),0.7917 (0.2381),0.5850 (0.1242),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4892 (0.2228),0.7151 (0.2891),0.5795 (0.2501),39.0
Father Mikhael Hanna,0.2167 (0.3064),0.1313 (0.1857),0.1635 (0.2313),33.0
Jean Philipp Kmeid,0.9137 (0.0677),0.9746 (0.0359),0.9409 (0.0342),27.0
Michel Saykali,0.6873 (0.2473),1.0000 (0.0000),0.7889 (0.1771),14.0
Hanna Ghayth (Juan Gait),0.6153 (0.1083),1.0000 (0.0000),0.7561 (0.0862),13.0
Yousef Hobeiche,0.8220 (0.0383),0.8993 (0.1424),0.8496 (0.0525),17.0
Angele Ellis,0.4657 (0.1033),0.3432 (0.1711),0.3508 (0.1229),27.0
Khalil Yossuf Nader Raad,0.3860 (0.1525),0.9848 (0.0214),0.5367 (0.1625),22.0
Mansour Eid,0.5963 (0.0644),0.8099 (0.2388),0.6586 (0.0795),93.0
Mkhayel Meneem,0.9277 (0.0767),0.9200 (0.0653),0.9205 (0.0462),25.0
Constantine Elias,0.6087 (0.0704),0.9833 (0.0236),0.7492 (0.0543),17.0
Maurice Gemayel,0.7738 (0.1758),0.3232 (0.0378),0.4515 (0.0585),11.0
Murshid Habashi,0.7249 (0.2013),0.9266 (0.0446),0.8014 (0.1538),26.0
Michel Kahwaji,0.6125 (0.2340),0.9882 (0.0167),0.7254 (0.1976),141.0
Mayor of Kfarshima,0.3343 (0.0839),0.5477 (0.3307),0.4001 (0.1505),33.0
Sohayl Tohmeh,0.7999 (0.1805),0.9630 (0.0524),0.8578 (0.1048),36.0
Shukri Kanaan,0.5623 (0.3215),0.3535 (0.1363),0.3790 (0.0982),33.0
Emily Nasrallah,0.8704 (0.1833),1.0000 (0.0000),0.9195 (0.1138),11.0
Joseph Oussani,0.9775 (0.0172),0.9899 (0.0073),0.9835 (0.0056),153.0
Father Boulos El-Mender,0.4258 (0.1144),0.3050 (0.0470),0.3533 (0.0689),20.0
