Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2353 (0.3328),0.2105 (0.2977),0.2222 (0.3143),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.7593 (0.3405),0.8116 (0.2664),20.0
Your son George,0.4408 (0.2447),0.8063 (0.0815),0.5196 (0.1609),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1667 (0.2357),0.0370 (0.0524),0.0606 (0.0857),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.8314 (0.1274),0.9281 (0.1016),0.8626 (0.0355),24.0
Shibli N. Damus,0.7762 (0.1867),0.7294 (0.1818),0.7068 (0.0375),103.0
Naoum Mokarzel,0.6667 (0.4714),0.4019 (0.2868),0.5007 (0.3553),18.0
Eissa alKhouri,0.8528 (0.1316),0.5022 (0.3707),0.5736 (0.3197),43.0
Girgi Dimitri Sursock,0.2357 (0.0698),0.7143 (0.3086),0.3468 (0.1169),7.0
Felix Faris,0.5882 (0.2102),0.8769 (0.1342),0.6650 (0.1610),151.0
May Ziadeh,0.1793 (0.1443),0.3823 (0.2826),0.2145 (0.2025),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5333 (0.3439),0.4405 (0.2469),0.4605 (0.2917),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.1754 (0.2481),0.2299 (0.3251),13.0
Prof. Ign. Kratchkovsky,0.0635 (0.0898),0.1026 (0.1450),0.0784 (0.1109),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5952 (0.4299),0.5467 (0.3896),0.5646 (0.3995),25.0
Daoud Mujaes,0.8649 (0.1243),0.7222 (0.2079),0.7570 (0.1247),18.0
Bechara El Khoury,0.3214 (0.1403),0.5417 (0.3076),0.3920 (0.1746),8.0
Youssef Ibrahim Yazbek,0.4596 (0.3558),0.4667 (0.3325),0.4505 (0.3232),20.0
Elias Abu Shabaki,0.9722 (0.0393),0.8913 (0.0379),0.9299 (0.0370),49.0
Elie Maroun Khalil,0.7764 (0.1633),0.5498 (0.3199),0.6119 (0.2421),22.0
Aziz Khoury,0.3333 (0.4714),0.0952 (0.1347),0.1481 (0.2095),14.0
Ghnatyos Mbarak,0.1111 (0.1571),0.0317 (0.0449),0.0494 (0.0698),21.0
Botros Feghaly,0.4333 (0.4190),0.1310 (0.1024),0.1978 (0.1633),24.0
Toufiq Wehbeh,0.7552 (0.1942),0.7675 (0.2671),0.6899 (0.1027),21.0
Bishop Mkhayel Akhrass,0.3913 (0.2906),0.6471 (0.4582),0.4824 (0.3467),17.0
George Saad,0.5792 (0.4134),0.2149 (0.1630),0.3122 (0.2320),38.0
Bishop Aghnathios Mbarak,0.5242 (0.1890),0.6584 (0.3309),0.5636 (0.2518),15.0
Fathallah Khoury,0.3402 (0.2569),0.5381 (0.3880),0.4158 (0.3077),14.0
Elias Sarkis,0.5177 (0.0406),0.8739 (0.0435),0.6500 (0.0430),20.0
Fouad Chehab,0.9833 (0.0236),0.9612 (0.0408),0.9721 (0.0323),11.0
Hanna Moussa,0.7884 (0.1536),0.9934 (0.0094),0.8702 (0.0906),25.0
Habib Massoud,0.5216 (0.3691),0.6667 (0.4714),0.5852 (0.4139),26.0
Zaghloul,0.9624 (0.0150),0.9692 (0.0436),0.9649 (0.0160),25.0
Father Youhanna Habib Baysari,0.9333 (0.0943),0.7486 (0.0560),0.8296 (0.0660),23.0
Mkhayel Daher,0.0731 (0.0696),0.0278 (0.0196),0.0377 (0.0279),24.0
Father Youssef Hanna & Father Botros Hasan,0.1548 (0.2189),0.1884 (0.2664),0.1699 (0.2403),23.0
Father Botros Hasan,0.6127 (0.1215),0.7354 (0.0781),0.6564 (0.0747),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4952 (0.2034),0.7407 (0.1128),0.5695 (0.1379),39.0
Father Mikhael Hanna,0.2745 (0.3882),0.1414 (0.2000),0.1867 (0.2640),33.0
Jean Philipp Kmeid,0.6811 (0.2167),0.9438 (0.0794),0.7646 (0.1604),27.0
Michel Saykali,0.5230 (0.1312),1.0000 (0.0000),0.6775 (0.1074),14.0
Hanna Ghayth (Juan Gait),0.6889 (0.0437),1.0000 (0.0000),0.8150 (0.0302),13.0
Yousef Hobeiche,0.5788 (0.2814),0.9043 (0.0545),0.6570 (0.1899),17.0
Angele Ellis,0.3056 (0.2390),0.1235 (0.1062),0.1752 (0.1467),27.0
Khalil Yossuf Nader Raad,0.2938 (0.0527),0.9848 (0.0214),0.4495 (0.0597),22.0
Mansour Eid,0.6565 (0.0982),0.7447 (0.2140),0.6629 (0.0620),93.0
Mkhayel Meneem,0.9355 (0.0630),0.8267 (0.1050),0.8769 (0.0874),25.0
Constantine Elias,0.7615 (0.2170),0.6833 (0.4130),0.5700 (0.2945),17.0
Maurice Gemayel,0.4954 (0.3665),0.5177 (0.3835),0.4901 (0.3465),11.0
Murshid Habashi,0.8889 (0.1039),0.6457 (0.1802),0.7250 (0.1224),26.0
Michel Kahwaji,0.4770 (0.2897),0.9811 (0.0267),0.5900 (0.2292),141.0
Mayor of Kfarshima,0.2449 (0.1227),0.5057 (0.3844),0.3158 (0.1820),33.0
Sohayl Tohmeh,0.6511 (0.1198),0.8224 (0.1132),0.7208 (0.0946),36.0
Shukri Kanaan,0.3147 (0.2283),0.4141 (0.2993),0.3576 (0.2590),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9705 (0.0120),0.9899 (0.0073),0.9801 (0.0051),153.0
Father Boulos El-Mender,0.2121 (0.3000),0.1261 (0.1784),0.1582 (0.2237),20.0
Salah Tizani,0.9083 (0.0323),0.9942 (0.0060),0.9490 (0.0174),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.1852 (0.2619),0.1389 (0.1964),0.1587 (0.2245),13.0
Assad Darouich Zacharias,0.2701 (0.1983),0.5537 (0.4018),0.3630 (0.2655),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.2632 (0.1743),0.6390 (0.4316),0.3643 (0.2493),31.0
Toufic El Bacha,0.6413 (0.1551),0.9667 (0.0471),0.7560 (0.0893),40.0
Catherine Yazbek Al-Badawi,0.3333 (0.4714),0.1961 (0.2773),0.2469 (0.3492),17.0
Youssef Fadlallah Salemeh,0.5757 (0.1643),0.7291 (0.2006),0.5945 (0.0457),60.0
Bishop Youssef Darian,0.3783 (0.2987),0.6226 (0.4436),0.4565 (0.3347),53.0
Youssef Hanna El-Sawda,0.7575 (0.1628),0.8690 (0.1024),0.8010 (0.1091),21.0
accuracy,0.6687 (0.0437),0.6687 (0.0437),0.6687 (0.0437),0.7112818439142742
macro avg,0.5024 (0.1058),0.5611 (0.1007),0.4928 (0.1078),2473.0
weighted avg,0.6695 (0.0488),0.6687 (0.0437),0.6416 (0.0487),2473.0
