Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.3127 (0.2906),0.2105 (0.1549),0.2443 (0.1971),19.0
Sister Victor N. Khoury,0.6333 (0.4497),0.6000 (0.4243),0.6158 (0.4359),20.0
Your son George,0.5985 (0.2257),0.9045 (0.0257),0.6937 (0.1522),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1111 (0.1571),0.0185 (0.0262),0.0317 (0.0449),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0256 (0.0363),0.0476 (0.0673),16.0
Ameen Rihani,0.7909 (0.1551),0.9469 (0.0751),0.8463 (0.0623),24.0
Shibli N. Damus,0.7571 (0.2758),0.8025 (0.1151),0.7337 (0.1587),103.0
Naoum Mokarzel,0.5926 (0.4287),0.3630 (0.2864),0.4473 (0.3399),18.0
Eissa alKhouri,0.7920 (0.1381),0.8469 (0.1095),0.8132 (0.1079),43.0
Girgi Dimitri Sursock,0.2722 (0.1459),0.7381 (0.1875),0.3868 (0.1897),7.0
Felix Faris,0.5812 (0.2716),0.8879 (0.0634),0.6568 (0.2351),151.0
May Ziadeh,0.1458 (0.1159),0.5443 (0.3868),0.2278 (0.1755),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5824 (0.2810),0.5054 (0.2363),0.5336 (0.2497),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.0175 (0.0248),0.0333 (0.0471),13.0
Prof. Ign. Kratchkovsky,0.0370 (0.0524),0.0256 (0.0363),0.0303 (0.0429),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6123 (0.4339),0.5733 (0.4084),0.5905 (0.4178),25.0
Daoud Mujaes,0.6533 (0.1520),0.8148 (0.0262),0.7127 (0.0904),18.0
Bechara El Khoury,0.4592 (0.1307),0.6875 (0.1350),0.5254 (0.0536),8.0
Youssef Ibrahim Yazbek,0.9630 (0.0524),0.6698 (0.0234),0.7893 (0.0256),20.0
Elias Abu Shabaki,0.9256 (0.0893),0.8712 (0.0380),0.8931 (0.0255),49.0
Elie Maroun Khalil,0.8705 (0.0442),0.9055 (0.1032),0.8829 (0.0468),22.0
Aziz Khoury,0.3333 (0.4714),0.0476 (0.0673),0.0833 (0.1179),14.0
Ghnatyos Mbarak,0.2222 (0.3143),0.0317 (0.0449),0.0556 (0.0786),21.0
Botros Feghaly,0.9524 (0.0673),0.3512 (0.2022),0.4826 (0.2154),24.0
Toufiq Wehbeh,0.8555 (0.1002),0.9739 (0.0192),0.9080 (0.0613),21.0
Bishop Mkhayel Akhrass,0.8025 (0.1429),0.6681 (0.4068),0.6610 (0.3575),17.0
George Saad,0.8426 (0.1119),0.5800 (0.1496),0.6766 (0.1308),38.0
Bishop Aghnathios Mbarak,0.6356 (0.0476),0.7497 (0.3080),0.6526 (0.1673),15.0
Fathallah Khoury,0.7735 (0.1312),0.6548 (0.2284),0.6744 (0.1557),14.0
Elias Sarkis,0.6556 (0.1795),0.9489 (0.0380),0.7592 (0.1070),20.0
Fouad Chehab,0.9064 (0.0859),0.9930 (0.0099),0.9452 (0.0461),11.0
Hanna Moussa,0.9098 (0.0651),0.9967 (0.0047),0.9499 (0.0331),25.0
Habib Massoud,0.6663 (0.2369),0.7157 (0.4021),0.5293 (0.1940),26.0
Zaghloul,0.9872 (0.0181),0.9865 (0.0191),0.9866 (0.0095),25.0
Father Youhanna Habib Baysari,0.8158 (0.2243),0.7634 (0.0955),0.7570 (0.0920),23.0
Mkhayel Daher,0.0222 (0.0314),0.0139 (0.0196),0.0171 (0.0242),24.0
Father Youssef Hanna & Father Botros Hasan,0.1944 (0.2750),0.1014 (0.1435),0.1333 (0.1886),23.0
Father Botros Hasan,0.4347 (0.0797),0.8056 (0.1712),0.5645 (0.1089),19.0
Father Youssef Hajj,0.1667 (0.2357),0.0317 (0.0449),0.0533 (0.0754),21.0
Father Mkhayel Zreiby,0.5143 (0.2489),0.7934 (0.1357),0.6001 (0.2335),39.0
Father Mikhael Hanna,0.2273 (0.3214),0.1515 (0.2143),0.1818 (0.2571),33.0
Jean Philipp Kmeid,0.9551 (0.0595),0.9855 (0.0205),0.9687 (0.0285),27.0
Michel Saykali,0.7862 (0.0971),0.9524 (0.0673),0.8534 (0.0256),14.0
Hanna Ghayth (Juan Gait),0.4614 (0.0764),1.0000 (0.0000),0.6277 (0.0714),13.0
Yousef Hobeiche,0.6007 (0.2549),0.9640 (0.0509),0.7026 (0.1631),17.0
Angele Ellis,0.4069 (0.3095),0.3210 (0.2727),0.3565 (0.2882),27.0
Khalil Yossuf Nader Raad,0.4762 (0.1234),0.9848 (0.0214),0.6317 (0.1174),22.0
Mansour Eid,0.9200 (0.0653),0.7990 (0.2256),0.8285 (0.1292),93.0
Mkhayel Meneem,0.9585 (0.0317),0.8667 (0.0680),0.9079 (0.0295),25.0
Constantine Elias,0.7177 (0.0850),0.7412 (0.2518),0.7139 (0.1620),17.0
Maurice Gemayel,0.7546 (0.2636),0.4369 (0.2456),0.4567 (0.2329),11.0
Murshid Habashi,0.7735 (0.1738),0.8811 (0.0598),0.8127 (0.1149),26.0
Michel Kahwaji,0.6410 (0.1985),0.9196 (0.1137),0.7223 (0.1043),141.0
Mayor of Kfarshima,0.4439 (0.1261),0.6196 (0.2534),0.4937 (0.1142),33.0
Sohayl Tohmeh,0.7725 (0.0207),0.8889 (0.1571),0.8176 (0.0640),36.0
Shukri Kanaan,0.6208 (0.2195),0.4949 (0.2575),0.4901 (0.1612),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.8398 (0.1781),0.9893 (0.0109),0.8966 (0.1096),153.0
Father Boulos El-Mender,0.6896 (0.2396),0.2351 (0.1455),0.3026 (0.1654),20.0
Salah Tizani,0.9147 (0.0595),0.9965 (0.0049),0.9528 (0.0324),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0303 (0.0429),0.0256 (0.0363),0.0278 (0.0393),13.0
Assad Darouich Zacharias,0.3681 (0.0988),0.7004 (0.1772),0.4793 (0.1240),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3735 (0.2643),0.6410 (0.4544),0.4716 (0.3335),31.0
Toufic El Bacha,0.5529 (0.2257),0.9917 (0.0118),0.6784 (0.2111),40.0
Catherine Yazbek Al-Badawi,0.2727 (0.3857),0.1765 (0.2496),0.2143 (0.3030),17.0
Youssef Fadlallah Salemeh,0.6553 (0.2392),0.7865 (0.1557),0.6566 (0.1174),60.0
Bishop Youssef Darian,0.5115 (0.3668),0.5967 (0.4236),0.5505 (0.3927),53.0
Youssef Hanna El-Sawda,0.6592 (0.1794),0.9162 (0.0628),0.7484 (0.0976),21.0
accuracy,0.7202 (0.0150),0.7202 (0.0150),0.7202 (0.0150),0.7412050141528508
macro avg,0.5695 (0.0521),0.6089 (0.0510),0.5461 (0.0579),2473.0
