Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0370 (0.0524),0.0351 (0.0496),0.0360 (0.0510),19.0
Sister Victor N. Khoury,0.6508 (0.4606),0.5000 (0.4082),0.5474 (0.4071),20.0
Your son George,0.4929 (0.2857),0.9018 (0.0704),0.5847 (0.2004),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1667 (0.2357),0.0185 (0.0262),0.0333 (0.0471),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0208 (0.0295),0.0392 (0.0555),16.0
Ameen Rihani,0.9173 (0.0691),0.9073 (0.1311),0.9019 (0.0515),24.0
Shibli N. Damus,0.6492 (0.2699),0.8718 (0.0908),0.6978 (0.1633),103.0
Naoum Mokarzel,0.4762 (0.4096),0.3389 (0.3678),0.3863 (0.3892),18.0
Eissa alKhouri,0.9710 (0.0218),0.5596 (0.4021),0.6016 (0.3953),43.0
Girgi Dimitri Sursock,0.1892 (0.1417),0.5952 (0.3883),0.2840 (0.2055),7.0
Felix Faris,0.6138 (0.3125),0.8816 (0.0824),0.6611 (0.2660),151.0
May Ziadeh,0.1816 (0.2341),0.3951 (0.4066),0.2413 (0.3017),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5011 (0.2997),0.5761 (0.2210),0.4194 (0.2383),78.0
Mohammed Amin al-Husseini ,0.6000 (0.4320),0.1201 (0.1344),0.1815 (0.1904),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5947 (0.4207),0.5467 (0.3869),0.5694 (0.4026),25.0
Daoud Mujaes,0.4179 (0.3029),0.5370 (0.3963),0.4698 (0.3431),18.0
Bechara El Khoury,0.5607 (0.1155),0.8333 (0.1179),0.6632 (0.1026),8.0
Youssef Ibrahim Yazbek,0.9167 (0.1179),0.6202 (0.3566),0.6895 (0.3383),20.0
Elias Abu Shabaki,0.9722 (0.0393),0.8500 (0.1707),0.9006 (0.1190),49.0
Elie Maroun Khalil,0.7278 (0.2217),0.8254 (0.2469),0.7733 (0.2330),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.2222 (0.3143),0.0317 (0.0449),0.0556 (0.0786),21.0
Botros Feghaly,0.9488 (0.0371),0.5456 (0.3296),0.6151 (0.3155),24.0
Toufiq Wehbeh,0.7299 (0.1209),0.8798 (0.1700),0.7836 (0.1077),21.0
Bishop Mkhayel Akhrass,0.5130 (0.3899),0.6667 (0.4714),0.5724 (0.4151),17.0
George Saad,0.9149 (0.1204),0.5764 (0.3809),0.6033 (0.3687),38.0
Bishop Aghnathios Mbarak,0.5618 (0.1879),0.6775 (0.3674),0.5758 (0.2679),15.0
Fathallah Khoury,0.3030 (0.4285),0.3333 (0.4714),0.3175 (0.4490),14.0
Elias Sarkis,0.7549 (0.1478),0.9489 (0.0380),0.8319 (0.0953),20.0
Fouad Chehab,0.9231 (0.1088),0.9771 (0.0195),0.9468 (0.0678),11.0
Hanna Moussa,0.9720 (0.0200),0.9956 (0.0062),0.9835 (0.0071),25.0
Habib Massoud,0.3874 (0.2741),0.6667 (0.4714),0.4900 (0.3466),26.0
Zaghloul,0.9114 (0.0993),0.9846 (0.0218),0.9428 (0.0503),25.0
Father Youhanna Habib Baysari,0.6384 (0.2563),0.8211 (0.1267),0.6788 (0.1210),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1282 (0.1813),0.1449 (0.2050),0.1361 (0.1924),23.0
Father Botros Hasan,0.2217 (0.1710),0.4306 (0.4059),0.2877 (0.2453),19.0
Father Youssef Hajj,0.0833 (0.1179),0.0317 (0.0449),0.0460 (0.0650),21.0
Father Mkhayel Zreiby,0.4257 (0.2102),0.6766 (0.2222),0.5184 (0.2234),39.0
Father Mikhael Hanna,0.2576 (0.3643),0.1717 (0.2428),0.2061 (0.2914),33.0
Jean Philipp Kmeid,0.9911 (0.0125),0.9982 (0.0026),0.9946 (0.0076),27.0
Michel Saykali,0.7342 (0.1667),1.0000 (0.0000),0.8352 (0.1197),14.0
Hanna Ghayth (Juan Gait),0.6340 (0.1891),1.0000 (0.0000),0.7590 (0.1472),13.0
Yousef Hobeiche,0.6035 (0.1906),0.9695 (0.0230),0.7272 (0.1389),17.0
Angele Ellis,0.4167 (0.2953),0.3457 (0.2463),0.3767 (0.2665),27.0
Khalil Yossuf Nader Raad,0.4649 (0.0980),1.0000 (0.0000),0.6285 (0.0931),22.0
Mansour Eid,0.9140 (0.0487),0.8135 (0.2337),0.8383 (0.1452),93.0
Mkhayel Meneem,0.8894 (0.0581),0.8000 (0.1497),0.8321 (0.0857),25.0
Constantine Elias,0.4218 (0.3107),0.6667 (0.4714),0.5132 (0.3688),17.0
Maurice Gemayel,0.3942 (0.2792),0.5480 (0.3951),0.4578 (0.3259),11.0
Murshid Habashi,0.5540 (0.3079),0.6235 (0.4107),0.5783 (0.3650),26.0
Michel Kahwaji,0.5826 (0.2668),0.9314 (0.0970),0.6664 (0.1462),141.0
Mayor of Kfarshima,0.3359 (0.0490),0.6310 (0.2616),0.4272 (0.0902),33.0
Sohayl Tohmeh,0.8511 (0.1056),0.9444 (0.0786),0.8858 (0.0171),36.0
Shukri Kanaan,0.2407 (0.2045),0.2828 (0.2814),0.2571 (0.2368),33.0
Emily Nasrallah,0.9722 (0.0393),1.0000 (0.0000),0.9855 (0.0205),11.0
Joseph Oussani,0.8491 (0.1941),0.9615 (0.0456),0.8856 (0.1126),153.0
Father Boulos El-Mender,0.4269 (0.2156),0.3306 (0.0924),0.3610 (0.1218),20.0
Salah Tizani,0.9639 (0.0394),0.9977 (0.0033),0.9801 (0.0202),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.1111 (0.1571),0.0556 (0.0786),0.0741 (0.1048),13.0
Assad Darouich Zacharias,0.3857 (0.2773),0.5137 (0.3890),0.4392 (0.3218),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.2935 (0.2490),0.6538 (0.4626),0.3935 (0.3097),31.0
Toufic El Bacha,0.5000 (0.1218),0.9833 (0.0236),0.6555 (0.1109),40.0
Catherine Yazbek Al-Badawi,0.3056 (0.4321),0.2157 (0.3050),0.2529 (0.3576),17.0
Youssef Fadlallah Salemeh,0.7125 (0.0557),0.8849 (0.1512),0.7768 (0.0369),60.0
Bishop Youssef Darian,0.4757 (0.3364),0.6226 (0.4436),0.5385 (0.3812),53.0
Youssef Hanna El-Sawda,0.6038 (0.2801),0.8689 (0.0927),0.6719 (0.1711),21.0
accuracy,0.6949 (0.0598),0.6949 (0.0598),0.6949 (0.0598),0.7658714112414072
macro avg,0.5140 (0.1259),0.5794 (0.1089),0.5080 (0.1296),2473.0
weighted avg,0.6924 (0.0586),0.6949 (0.0598),0.6674 (0.0670),2473.0
