Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2444 (0.3457),0.1930 (0.2729),0.2157 (0.3050),19.0
Sister Victor N. Khoury,0.9444 (0.0786),0.7593 (0.3405),0.8056 (0.2750),20.0
Your son George,0.5706 (0.2909),0.7881 (0.1325),0.5956 (0.1592),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0625 (0.0884),0.1053 (0.1489),16.0
Ameen Rihani,0.8003 (0.1212),0.8410 (0.1733),0.7935 (0.0426),24.0
Shibli N. Damus,0.8101 (0.1450),0.8021 (0.2454),0.7585 (0.1069),103.0
Naoum Mokarzel,0.5882 (0.4269),0.4574 (0.3248),0.5102 (0.3613),18.0
Eissa alKhouri,0.9465 (0.0411),0.6848 (0.2734),0.7544 (0.1877),43.0
Girgi Dimitri Sursock,0.2471 (0.0717),0.5016 (0.3268),0.3013 (0.1358),7.0
Felix Faris,0.6485 (0.2624),0.7813 (0.0426),0.6673 (0.1780),151.0
May Ziadeh,0.2144 (0.2483),0.4009 (0.3342),0.2667 (0.2880),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5550 (0.3795),0.3858 (0.2242),0.4463 (0.2949),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.0526 (0.0744),0.0909 (0.1286),13.0
Prof. Ign. Kratchkovsky,0.0311 (0.0241),0.0513 (0.0363),0.0381 (0.0280),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5026 (0.3603),0.4533 (0.3271),0.4767 (0.3428),25.0
Daoud Mujaes,0.6061 (0.4349),0.4815 (0.3858),0.5307 (0.4017),18.0
Bechara El Khoury,0.3545 (0.1698),0.4583 (0.2619),0.3891 (0.2093),8.0
Youssef Ibrahim Yazbek,0.3564 (0.2916),0.2976 (0.2149),0.3204 (0.2430),20.0
Elias Abu Shabaki,0.7866 (0.1190),0.8530 (0.1140),0.8087 (0.0691),49.0
Elie Maroun Khalil,0.6125 (0.3344),0.5087 (0.3272),0.5502 (0.3401),22.0
Aziz Khoury,0.5000 (0.4082),0.0714 (0.0583),0.1185 (0.0913),14.0
Ghnatyos Mbarak,0.1019 (0.1072),0.0381 (0.0280),0.0469 (0.0341),21.0
Botros Feghaly,0.3333 (0.4714),0.0278 (0.0393),0.0513 (0.0725),24.0
Toufiq Wehbeh,0.6377 (0.1986),0.6319 (0.3889),0.4899 (0.2665),21.0
Bishop Mkhayel Akhrass,0.4678 (0.1996),0.6159 (0.2746),0.5110 (0.2226),17.0
George Saad,0.7165 (0.1802),0.2935 (0.1359),0.4093 (0.1724),38.0
Bishop Aghnathios Mbarak,0.5206 (0.1509),0.7394 (0.1466),0.5801 (0.0486),15.0
Fathallah Khoury,0.6184 (0.3276),0.4143 (0.3788),0.4010 (0.2676),14.0
Elias Sarkis,0.4109 (0.1203),0.8530 (0.0729),0.5487 (0.1290),20.0
Fouad Chehab,0.9556 (0.0342),0.9472 (0.0396),0.9502 (0.0171),11.0
Hanna Moussa,0.6937 (0.2261),0.9879 (0.0172),0.7923 (0.1474),25.0
Habib Massoud,0.3644 (0.2708),0.6410 (0.4544),0.4591 (0.3301),26.0
Zaghloul,0.9718 (0.0227),0.9884 (0.0163),0.9798 (0.0143),25.0
Father Youhanna Habib Baysari,0.8363 (0.0998),0.7139 (0.0535),0.7668 (0.0512),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.1538 (0.2176),0.0870 (0.1230),0.1111 (0.1571),23.0
Father Botros Hasan,0.4896 (0.1975),0.4788 (0.2985),0.4688 (0.2311),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.3244 (0.2194),0.6581 (0.1571),0.4138 (0.2202),39.0
Father Mikhael Hanna,0.2593 (0.3666),0.1414 (0.2000),0.1830 (0.2588),33.0
Jean Philipp Kmeid,0.4422 (0.1263),0.8914 (0.1038),0.5707 (0.0925),27.0
Michel Saykali,0.5509 (0.1602),0.9762 (0.0337),0.6932 (0.1307),14.0
Hanna Ghayth (Juan Gait),0.3612 (0.0454),0.9778 (0.0314),0.5264 (0.0516),13.0
Yousef Hobeiche,0.5598 (0.2102),0.8466 (0.0300),0.6474 (0.1485),17.0
Angele Ellis,0.2500 (0.2041),0.1235 (0.0924),0.1646 (0.1265),27.0
Khalil Yossuf Nader Raad,0.3935 (0.1131),0.9360 (0.0560),0.5452 (0.1202),22.0
Mansour Eid,0.7147 (0.1115),0.7519 (0.2042),0.7007 (0.0774),93.0
Mkhayel Meneem,0.9225 (0.0418),0.7867 (0.0680),0.8478 (0.0489),25.0
Constantine Elias,0.6373 (0.1822),0.9167 (0.1179),0.7411 (0.1455),17.0
Maurice Gemayel,0.3778 (0.3281),0.3258 (0.3017),0.3492 (0.3143),11.0
Murshid Habashi,0.5758 (0.0491),0.7494 (0.1026),0.6457 (0.0386),26.0
Michel Kahwaji,0.5738 (0.2517),0.9210 (0.0700),0.6651 (0.1553),141.0
Mayor of Kfarshima,0.2682 (0.0336),0.5574 (0.2853),0.3463 (0.0822),33.0
Sohayl Tohmeh,0.4416 (0.0185),0.8157 (0.0526),0.5728 (0.0276),36.0
Shukri Kanaan,0.5993 (0.2852),0.3333 (0.2199),0.3114 (0.1830),33.0
Emily Nasrallah,0.8084 (0.1740),1.0000 (0.0000),0.8833 (0.1114),11.0
Joseph Oussani,0.9619 (0.0308),0.9593 (0.0445),0.9595 (0.0219),153.0
Father Boulos El-Mender,0.1883 (0.2352),0.1626 (0.1256),0.1587 (0.1776),20.0
Salah Tizani,0.7796 (0.2068),0.9885 (0.0100),0.8541 (0.1406),297.0
