Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2667 (0.3771),0.2105 (0.2977),0.2353 (0.3328),19.0
Sister Victor N. Khoury,0.9841 (0.0224),0.7222 (0.3928),0.7538 (0.3311),20.0
Your son George,0.4661 (0.1878),0.9367 (0.0241),0.6041 (0.1621),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1667 (0.2357),0.0185 (0.0262),0.0333 (0.0471),16.0
Bishop Boulos Akl,0.5556 (0.4157),0.0673 (0.0515),0.1178 (0.0878),16.0
Ameen Rihani,0.8796 (0.0866),0.8573 (0.2018),0.8429 (0.0821),24.0
Shibli N. Damus,0.7410 (0.1741),0.8293 (0.1568),0.7485 (0.0095),103.0
Naoum Mokarzel,1.0000 (0.0000),0.4759 (0.2144),0.6184 (0.1830),18.0
Eissa alKhouri,0.9548 (0.0414),0.8297 (0.1535),0.8778 (0.0834),43.0
Girgi Dimitri Sursock,0.2969 (0.1084),0.8111 (0.0912),0.4274 (0.1340),7.0
Felix Faris,0.6410 (0.2038),0.8833 (0.1213),0.7059 (0.1227),151.0
May Ziadeh,0.2776 (0.2045),0.5420 (0.3409),0.3526 (0.2491),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6255 (0.3318),0.5085 (0.2126),0.5122 (0.2510),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.0175 (0.0248),0.0333 (0.0471),13.0
Prof. Ign. Kratchkovsky,0.0863 (0.0839),0.0769 (0.0628),0.0802 (0.0716),13.0
Ibrahim Mejahid Al-Jaza'eri,0.9417 (0.0514),0.4533 (0.3035),0.5348 (0.3304),25.0
Daoud Mujaes,0.5646 (0.2710),0.7037 (0.3405),0.6264 (0.3016),18.0
Bechara El Khoury,0.5921 (0.1954),0.6458 (0.0295),0.5961 (0.1008),8.0
Youssef Ibrahim Yazbek,0.9393 (0.0445),0.6956 (0.2131),0.7835 (0.1589),20.0
Elias Abu Shabaki,0.9810 (0.0269),0.8726 (0.1426),0.9190 (0.0950),49.0
Elie Maroun Khalil,0.9090 (0.0904),0.7459 (0.1714),0.8138 (0.1340),22.0
Aziz Khoury,0.3333 (0.4714),0.0238 (0.0337),0.0444 (0.0629),14.0
Ghnatyos Mbarak,0.1590 (0.1733),0.0540 (0.0399),0.0751 (0.0629),21.0
Botros Feghaly,0.7714 (0.0404),0.3095 (0.1361),0.4267 (0.1349),24.0
Toufiq Wehbeh,0.7771 (0.1341),0.9727 (0.0386),0.8562 (0.0857),21.0
Bishop Mkhayel Akhrass,0.8149 (0.1674),0.9206 (0.1122),0.8432 (0.0723),17.0
George Saad,0.7271 (0.1660),0.6714 (0.0466),0.6862 (0.0605),38.0
Bishop Aghnathios Mbarak,0.5876 (0.0810),0.7637 (0.2093),0.6607 (0.1329),15.0
Fathallah Khoury,0.8843 (0.0910),0.6119 (0.1885),0.7056 (0.1567),14.0
Elias Sarkis,0.5669 (0.0562),0.9322 (0.0171),0.7039 (0.0491),20.0
Fouad Chehab,1.0000 (0.0000),0.9930 (0.0099),0.9965 (0.0050),11.0
Hanna Moussa,1.0000 (0.0000),0.9945 (0.0078),0.9972 (0.0039),25.0
Habib Massoud,0.8889 (0.0831),0.8137 (0.2634),0.8099 (0.1407),26.0
Zaghloul,0.9981 (0.0027),0.9961 (0.0054),0.9971 (0.0041),25.0
Father Youhanna Habib Baysari,0.9183 (0.0688),0.8908 (0.1544),0.8922 (0.0749),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.3333 (0.4714),0.1739 (0.2460),0.2286 (0.3232),23.0
Father Botros Hasan,0.3824 (0.1100),0.6630 (0.3522),0.4699 (0.1981),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4522 (0.2245),0.7037 (0.2362),0.5456 (0.2348),39.0
Father Mikhael Hanna,0.1667 (0.2357),0.0202 (0.0286),0.0360 (0.0510),33.0
Jean Philipp Kmeid,0.8028 (0.2277),0.9819 (0.0256),0.8617 (0.1492),27.0
Michel Saykali,0.5386 (0.2118),0.9861 (0.0196),0.6677 (0.1993),14.0
Hanna Ghayth (Juan Gait),0.5647 (0.0814),1.0000 (0.0000),0.7182 (0.0683),13.0
Yousef Hobeiche,0.7253 (0.1207),0.9492 (0.0386),0.8134 (0.0676),17.0
Angele Ellis,0.4287 (0.3455),0.4074 (0.3326),0.3738 (0.2645),27.0
Khalil Yossuf Nader Raad,0.3664 (0.1212),0.9327 (0.0483),0.5160 (0.1389),22.0
Mansour Eid,0.5229 (0.0945),0.8242 (0.2186),0.6124 (0.0771),93.0
Mkhayel Meneem,0.8603 (0.0609),0.8933 (0.0499),0.8763 (0.0546),25.0
Constantine Elias,0.6369 (0.0990),0.9833 (0.0236),0.7674 (0.0716),17.0
Maurice Gemayel,0.7333 (0.3771),0.2348 (0.0386),0.3195 (0.0847),11.0
Murshid Habashi,0.8238 (0.1973),0.8683 (0.0678),0.8390 (0.1402),26.0
Michel Kahwaji,0.7173 (0.2844),0.9504 (0.0702),0.7726 (0.2065),141.0
Mayor of Kfarshima,0.3613 (0.0363),0.5893 (0.2922),0.4329 (0.1073),33.0
Sohayl Tohmeh,0.8322 (0.1435),0.9764 (0.0234),0.8898 (0.0807),36.0
Shukri Kanaan,0.6363 (0.2586),0.4141 (0.1922),0.4181 (0.1156),33.0
Emily Nasrallah,0.9487 (0.0725),1.0000 (0.0000),0.9722 (0.0393),11.0
Joseph Oussani,0.9626 (0.0311),0.9827 (0.0122),0.9721 (0.0104),153.0
Father Boulos El-Mender,0.6244 (0.1535),0.5973 (0.1900),0.5753 (0.0848),20.0
Salah Tizani,0.9162 (0.1043),0.9978 (0.0032),0.9519 (0.0583),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.3810 (0.4416),0.0791 (0.0629),0.1007 (0.0712),13.0
Assad Darouich Zacharias,0.2660 (0.1283),0.4141 (0.3315),0.3018 (0.1801),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3526 (0.2200),0.6754 (0.4322),0.4518 (0.2870),31.0
Toufic El Bacha,0.6119 (0.1819),1.0000 (0.0000),0.7425 (0.1488),40.0
Catherine Yazbek Al-Badawi,0.3333 (0.4714),0.2353 (0.3328),0.2759 (0.3901),17.0
Youssef Fadlallah Salemeh,0.5577 (0.2275),0.9742 (0.0204),0.6767 (0.2037),60.0
Bishop Youssef Darian,0.5652 (0.4094),0.6101 (0.4369),0.5796 (0.4102),53.0
Youssef Hanna El-Sawda,0.6195 (0.2384),0.9080 (0.0658),0.7049 (0.1496),21.0
accuracy,0.7162 (0.0176),0.7162 (0.0176),0.7162 (0.0176),0.7408006469874646
macro avg,0.5867 (0.0355),0.6180 (0.0251),0.5546 (0.0423),2473.0
weighted avg,0.7326 (0.0065),0.7162 (0.0176),0.6924 (0.0176),2473.0
