Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2745 (0.3882),0.2456 (0.3474),0.2593 (0.3666),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.6852 (0.4452),0.7018 (0.4218),20.0
Your son George,0.3681 (0.1714),0.8715 (0.0289),0.4922 (0.1551),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1667 (0.2357),0.0152 (0.0214),0.0278 (0.0393),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.8053 (0.1347),0.8945 (0.1230),0.8281 (0.0071),24.0
Shibli N. Damus,0.7963 (0.1458),0.8261 (0.1611),0.7823 (0.0172),103.0
Naoum Mokarzel,0.5833 (0.4249),0.1722 (0.1429),0.2637 (0.2118),18.0
Eissa alKhouri,0.8576 (0.1013),0.5314 (0.2946),0.5976 (0.1810),43.0
Girgi Dimitri Sursock,0.2767 (0.0517),0.6667 (0.2935),0.3593 (0.0628),7.0
Felix Faris,0.5837 (0.2749),0.8824 (0.0995),0.6475 (0.2331),151.0
May Ziadeh,0.1561 (0.1510),0.3660 (0.3110),0.2021 (0.2118),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4859 (0.2998),0.5302 (0.1875),0.4521 (0.2531),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0500 (0.0707),0.0769 (0.1088),0.0606 (0.0857),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5155 (0.3820),0.5333 (0.3785),0.5220 (0.3767),25.0
Daoud Mujaes,0.5942 (0.4294),0.4259 (0.4215),0.4376 (0.3585),18.0
Bechara El Khoury,0.2567 (0.0585),0.6667 (0.1062),0.3658 (0.0614),8.0
Youssef Ibrahim Yazbek,0.5821 (0.4122),0.2810 (0.2000),0.3789 (0.2691),20.0
Elias Abu Shabaki,0.9298 (0.0992),0.8728 (0.0470),0.8986 (0.0656),49.0
Elie Maroun Khalil,0.8632 (0.1425),0.4200 (0.2142),0.5432 (0.2058),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.1250 (0.1768),0.0476 (0.0673),0.0690 (0.0975),21.0
Botros Feghaly,0.2222 (0.1571),0.0456 (0.0390),0.0741 (0.0605),24.0
Toufiq Wehbeh,0.8255 (0.1488),0.7772 (0.2836),0.7414 (0.1500),21.0
Bishop Mkhayel Akhrass,0.4424 (0.3131),0.6667 (0.4714),0.5317 (0.3761),17.0
George Saad,0.5417 (0.3834),0.2635 (0.1863),0.3545 (0.2507),38.0
Bishop Aghnathios Mbarak,0.5600 (0.1832),0.6522 (0.2618),0.5756 (0.2003),15.0
Fathallah Khoury,0.2550 (0.1936),0.4405 (0.3199),0.3224 (0.2404),14.0
Elias Sarkis,0.5013 (0.0680),0.9322 (0.0171),0.6489 (0.0586),20.0
Fouad Chehab,0.9697 (0.0429),0.9771 (0.0195),0.9732 (0.0307),11.0
Hanna Moussa,0.8596 (0.0927),0.9901 (0.0140),0.9169 (0.0451),25.0
Habib Massoud,0.5826 (0.4130),0.6667 (0.4714),0.6216 (0.4398),26.0
Zaghloul,0.9713 (0.0227),0.9730 (0.0381),0.9717 (0.0230),25.0
Father Youhanna Habib Baysari,0.9047 (0.1175),0.7169 (0.0315),0.7950 (0.0453),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
