Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.4408 (0.3895),0.3684 (0.4144),0.3899 (0.4045),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.9074 (0.1309),0.9462 (0.0760),20.0
Your son George,0.5747 (0.2767),0.8399 (0.1154),0.6231 (0.1380),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.2063 (0.1472),0.0488 (0.0374),0.0777 (0.0577),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0256 (0.0363),0.0476 (0.0673),16.0
Ameen Rihani,0.8182 (0.1311),0.9313 (0.0972),0.8562 (0.0312),24.0
Shibli N. Damus,0.8103 (0.1348),0.8543 (0.1237),0.8118 (0.0108),103.0
Naoum Mokarzel,0.9101 (0.0908),0.6704 (0.1294),0.7640 (0.0929),18.0
Eissa alKhouri,0.8173 (0.1554),0.8202 (0.2349),0.7765 (0.1187),43.0
Girgi Dimitri Sursock,0.3313 (0.0841),0.8810 (0.1214),0.4786 (0.1016),7.0
Felix Faris,0.6600 (0.1714),0.8993 (0.0551),0.7421 (0.1134),151.0
May Ziadeh,0.2350 (0.0713),0.4441 (0.2905),0.2711 (0.1612),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5824 (0.3061),0.4627 (0.1835),0.5054 (0.2367),78.0
Mohammed Amin al-Husseini ,0.2540 (0.3592),0.2807 (0.3970),0.2667 (0.3771),13.0
Prof. Ign. Kratchkovsky,0.1768 (0.1486),0.1795 (0.1307),0.1756 (0.1367),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6530 (0.1637),0.6800 (0.2828),0.6458 (0.2159),25.0
Daoud Mujaes,0.7205 (0.1262),0.9259 (0.0693),0.8055 (0.0904),18.0
Bechara El Khoury,0.2759 (0.0335),0.7083 (0.2357),0.3918 (0.0759),8.0
Youssef Ibrahim Yazbek,0.6657 (0.1502),0.7329 (0.0890),0.6853 (0.0976),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.8916 (0.0412),0.9422 (0.0234),49.0
Elie Maroun Khalil,0.8697 (0.0494),0.7675 (0.2535),0.7859 (0.1602),22.0
Aziz Khoury,0.6000 (0.4320),0.2460 (0.2989),0.2869 (0.3161),14.0
Ghnatyos Mbarak,0.2778 (0.2079),0.0408 (0.0401),0.0665 (0.0614),21.0
Botros Feghaly,0.7980 (0.1450),0.3810 (0.2057),0.4788 (0.1648),24.0
Toufiq Wehbeh,0.8620 (0.0719),0.9563 (0.0618),0.9018 (0.0087),21.0
Bishop Mkhayel Akhrass,0.8131 (0.1390),0.8095 (0.2694),0.7573 (0.1150),17.0
George Saad,0.8271 (0.0869),0.6243 (0.1637),0.6929 (0.0920),38.0
Bishop Aghnathios Mbarak,0.7270 (0.1877),0.7719 (0.3225),0.7372 (0.2548),15.0
Fathallah Khoury,0.4499 (0.2161),0.7119 (0.3021),0.5496 (0.2514),14.0
Elias Sarkis,0.5297 (0.1110),0.9322 (0.0171),0.6678 (0.0876),20.0
Fouad Chehab,0.9841 (0.0224),0.9771 (0.0195),0.9806 (0.0204),11.0
Hanna Moussa,0.9517 (0.0635),0.9857 (0.0203),0.9669 (0.0307),25.0
Habib Massoud,0.7500 (0.0471),0.8853 (0.1285),0.8049 (0.0514),26.0
Zaghloul,0.9491 (0.0211),0.9942 (0.0082),0.9709 (0.0075),25.0
Father Youhanna Habib Baysari,0.9383 (0.0873),0.8476 (0.1857),0.8730 (0.1066),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.2319 (0.3279),0.2319 (0.3279),0.2319 (0.3279),23.0
Father Botros Hasan,0.7006 (0.1310),0.7946 (0.1567),0.7445 (0.1425),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.5987 (0.2975),0.7051 (0.1723),0.6313 (0.2534),39.0
Father Mikhael Hanna,0.3125 (0.4419),0.1515 (0.2143),0.2041 (0.2886),33.0
Jean Philipp Kmeid,0.7581 (0.2429),0.9746 (0.0359),0.8253 (0.1687),27.0
Michel Saykali,0.4848 (0.2909),0.9762 (0.0337),0.6029 (0.2429),14.0
Hanna Ghayth (Juan Gait),0.7341 (0.0882),1.0000 (0.0000),0.8436 (0.0597),13.0
Yousef Hobeiche,0.6597 (0.2155),0.9664 (0.0475),0.7589 (0.1234),17.0
Angele Ellis,0.4333 (0.3300),0.2481 (0.1851),0.3155 (0.2371),27.0
Khalil Yossuf Nader Raad,0.5045 (0.1597),1.0000 (0.0000),0.6551 (0.1466),22.0
Mansour Eid,0.8643 (0.1186),0.8280 (0.2433),0.8128 (0.1391),93.0
Mkhayel Meneem,0.9733 (0.0377),0.8800 (0.0566),0.9224 (0.0284),25.0
Constantine Elias,0.8039 (0.0758),0.8824 (0.1664),0.8365 (0.1106),17.0
Maurice Gemayel,0.6153 (0.0633),0.6995 (0.1897),0.6425 (0.1076),11.0
Murshid Habashi,0.8710 (0.0563),0.6981 (0.1502),0.7606 (0.0806),26.0
Michel Kahwaji,0.6476 (0.2773),0.9835 (0.0234),0.7387 (0.2310),141.0
Mayor of Kfarshima,0.3806 (0.1327),0.5676 (0.3338),0.4356 (0.1745),33.0
Sohayl Tohmeh,0.6606 (0.1347),0.8712 (0.0859),0.7440 (0.0992),36.0
Shukri Kanaan,0.5598 (0.1340),0.5253 (0.2104),0.5251 (0.1378),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.8774 (0.1421),1.0000 (0.0000),0.9282 (0.0857),153.0
Father Boulos El-Mender,0.3298 (0.2448),0.3306 (0.0924),0.3022 (0.1425),20.0
Salah Tizani,0.9552 (0.0328),0.9989 (0.0016),0.9762 (0.0171),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.2667 (0.3771),0.1111 (0.1571),0.1569 (0.2218),13.0
Assad Darouich Zacharias,0.5503 (0.2574),0.6267 (0.2660),0.5296 (0.1891),25.0
Asaad Koury Tobia Attallah,0.1429 (0.2020),0.0500 (0.0707),0.0741 (0.1048),10.0
Krouger Tobia Attallah,0.3838 (0.2555),0.6023 (0.4045),0.4688 (0.3132),31.0
Toufic El Bacha,0.8548 (0.0401),1.0000 (0.0000),0.9212 (0.0236),40.0
Catherine Yazbek Al-Badawi,0.6111 (0.4374),0.2941 (0.2401),0.3814 (0.2863),17.0
Youssef Fadlallah Salemeh,0.6498 (0.2757),0.7381 (0.2333),0.5995 (0.1651),60.0
Bishop Youssef Darian,0.5075 (0.3862),0.6101 (0.4369),0.5397 (0.3859),53.0
Youssef Hanna El-Sawda,0.7327 (0.1869),0.9329 (0.0629),0.8005 (0.0844),21.0
accuracy,0.7347 (0.0233),0.7347 (0.0233),0.7347 (0.0233),0.7217953902143146
macro avg,0.5979 (0.0142),0.6445 (0.0266),0.5864 (0.0181),2473.0
weighted avg,0.7430 (0.0239),0.7347 (0.0233),0.7159 (0.0243),2473.0
