Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2778 (0.3928),0.0877 (0.1241),0.1333 (0.1886),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.6667 (0.4714),0.6667 (0.4714),20.0
Your son George,0.4458 (0.1620),0.9785 (0.0304),0.5931 (0.1353),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.8477 (0.1091),0.8198 (0.1715),0.8094 (0.0567),24.0
Shibli N. Damus,0.7867 (0.1675),0.8455 (0.1356),0.7915 (0.0685),103.0
Naoum Mokarzel,0.6667 (0.4714),0.0907 (0.0952),0.1530 (0.1540),18.0
Eissa alKhouri,0.8954 (0.0400),0.8342 (0.1965),0.8511 (0.1213),43.0
Girgi Dimitri Sursock,0.3184 (0.1952),0.6460 (0.2569),0.4159 (0.2409),7.0
Felix Faris,0.6152 (0.2272),0.9094 (0.1056),0.6934 (0.1686),151.0
May Ziadeh,0.2177 (0.1697),0.5711 (0.3833),0.3048 (0.2297),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5938 (0.2458),0.5994 (0.2204),0.5213 (0.1515),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0215 (0.0304),0.0513 (0.0725),0.0303 (0.0429),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6190 (0.4416),0.3867 (0.2963),0.4646 (0.3359),25.0
Daoud Mujaes,0.4084 (0.2908),0.6111 (0.4327),0.4895 (0.3475),18.0
Bechara El Khoury,0.4560 (0.1099),0.4583 (0.1179),0.4424 (0.0667),8.0
Youssef Ibrahim Yazbek,0.9330 (0.0494),0.4813 (0.0386),0.6328 (0.0242),20.0
Elias Abu Shabaki,0.9912 (0.0124),0.8998 (0.1048),0.9407 (0.0648),49.0
Elie Maroun Khalil,0.8333 (0.2357),0.5608 (0.2623),0.6615 (0.2729),22.0
Aziz Khoury,0.2500 (0.3536),0.0714 (0.1010),0.1111 (0.1571),14.0
Ghnatyos Mbarak,0.3810 (0.4416),0.0249 (0.0195),0.0414 (0.0302),21.0
Botros Feghaly,0.5758 (0.4221),0.1429 (0.1402),0.2104 (0.1884),24.0
Toufiq Wehbeh,0.6988 (0.1832),0.9635 (0.0142),0.7986 (0.1232),21.0
Bishop Mkhayel Akhrass,0.7308 (0.2281),0.6703 (0.3194),0.6272 (0.2531),17.0
George Saad,0.8376 (0.1362),0.4408 (0.0977),0.5687 (0.0874),38.0
Bishop Aghnathios Mbarak,0.5203 (0.1266),0.6959 (0.2373),0.5824 (0.1607),15.0
Fathallah Khoury,0.8389 (0.1723),0.4286 (0.2654),0.5349 (0.2477),14.0
Elias Sarkis,0.5957 (0.1275),0.9322 (0.0171),0.7182 (0.1012),20.0
Fouad Chehab,1.0000 (0.0000),0.9930 (0.0099),0.9965 (0.0050),11.0
Hanna Moussa,0.9848 (0.0214),0.9879 (0.0172),0.9861 (0.0100),25.0
Habib Massoud,0.8361 (0.1783),0.6968 (0.3503),0.6614 (0.2356),26.0
Zaghloul,0.9591 (0.0461),0.9923 (0.0109),0.9747 (0.0230),25.0
Father Youhanna Habib Baysari,0.9364 (0.0443),0.8761 (0.0849),0.9015 (0.0421),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Father Botros Hasan,0.3531 (0.0956),0.7010 (0.2319),0.4646 (0.1285),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.4320 (0.2727),0.7066 (0.2824),0.5190 (0.2686),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0101 (0.0143),0.0196 (0.0277),33.0
Jean Philipp Kmeid,0.7980 (0.2109),0.9457 (0.0769),0.8424 (0.1280),27.0
Michel Saykali,0.5440 (0.1792),0.9861 (0.0196),0.6812 (0.1628),14.0
Hanna Ghayth (Juan Gait),0.4914 (0.0566),1.0000 (0.0000),0.6571 (0.0497),13.0
Yousef Hobeiche,0.4905 (0.2089),0.9616 (0.0543),0.6177 (0.1539),17.0
Angele Ellis,0.3285 (0.1852),0.2556 (0.1635),0.2720 (0.1605),27.0
Khalil Yossuf Nader Raad,0.3043 (0.1086),0.9630 (0.0524),0.4539 (0.1380),22.0
Mansour Eid,0.5247 (0.1050),0.8350 (0.2034),0.6138 (0.0462),93.0
Mkhayel Meneem,0.9210 (0.0489),0.8800 (0.0327),0.8983 (0.0135),25.0
Constantine Elias,0.6588 (0.0935),0.9804 (0.0277),0.7839 (0.0686),17.0
Maurice Gemayel,0.5873 (0.3736),0.1465 (0.0398),0.1912 (0.0694),11.0
Murshid Habashi,0.8881 (0.1210),0.7354 (0.0869),0.7926 (0.0406),26.0
Michel Kahwaji,0.6432 (0.2639),0.9527 (0.0669),0.7249 (0.1878),141.0
Mayor of Kfarshima,0.3984 (0.0193),0.7030 (0.2125),0.4969 (0.0457),33.0
Sohayl Tohmeh,0.7043 (0.0452),0.9377 (0.0392),0.8036 (0.0379),36.0
Shukri Kanaan,0.5317 (0.3380),0.2424 (0.1784),0.2459 (0.1322),33.0
Emily Nasrallah,0.7821 (0.2091),1.0000 (0.0000),0.8611 (0.1416),11.0
Joseph Oussani,0.9565 (0.0265),0.9692 (0.0245),0.9621 (0.0038),153.0
Father Boulos El-Mender,0.4942 (0.1145),0.5959 (0.2091),0.4944 (0.0382),20.0
Salah Tizani,0.8170 (0.2329),0.9965 (0.0029),0.8773 (0.1567),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.3333 (0.4714),0.0278 (0.0393),0.0513 (0.0725),13.0
Assad Darouich Zacharias,0.0933 (0.0230),0.0925 (0.0372),0.0826 (0.0159),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.4207 (0.1705),0.7259 (0.3085),0.5313 (0.2177),31.0
Toufic El Bacha,0.7113 (0.2103),1.0000 (0.0000),0.8126 (0.1529),40.0
Catherine Yazbek Al-Badawi,0.3333 (0.4714),0.1176 (0.1664),0.1739 (0.2460),17.0
Youssef Fadlallah Salemeh,0.5329 (0.2529),0.9288 (0.0912),0.6267 (0.2349),60.0
Bishop Youssef Darian,0.5450 (0.3906),0.6038 (0.4338),0.5672 (0.4010),53.0
Youssef Hanna El-Sawda,0.7049 (0.1671),0.9078 (0.0723),0.7750 (0.0736),21.0
accuracy,0.6808 (0.0223),0.6808 (0.0223),0.6808 (0.0223),0.7096643752527295
macro avg,0.5267 (0.0387),0.5679 (0.0164),0.4958 (0.0372),2473.0
weighted avg,0.6978 (0.0258),0.6808 (0.0223),0.6534 (0.0242),2473.0
