Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2500 (0.3536),0.1579 (0.2233),0.1935 (0.2737),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.6167 (0.4365),0.6406 (0.4531),20.0
Your son George,0.4870 (0.2284),0.9025 (0.0947),0.5832 (0.2052),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1667 (0.2357),0.0152 (0.0214),0.0278 (0.0393),16.0
Bishop Boulos Akl,0.3333 (0.4714),0.0256 (0.0363),0.0476 (0.0673),16.0
Ameen Rihani,0.7807 (0.1501),0.8885 (0.1576),0.8028 (0.0164),24.0
Shibli N. Damus,0.8666 (0.1343),0.8442 (0.1861),0.8304 (0.1002),103.0
Naoum Mokarzel,0.6333 (0.4497),0.4500 (0.3488),0.5206 (0.3850),18.0
Eissa alKhouri,0.8947 (0.0374),0.8962 (0.1099),0.8932 (0.0713),43.0
Girgi Dimitri Sursock,0.2793 (0.1340),0.7857 (0.1750),0.4044 (0.1763),7.0
Felix Faris,0.6196 (0.2800),0.8931 (0.0756),0.6815 (0.2263),151.0
May Ziadeh,0.2092 (0.1439),0.5094 (0.3759),0.2763 (0.2204),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5279 (0.3313),0.3521 (0.1869),0.4154 (0.2455),78.0
Mohammed Amin al-Husseini ,0.2727 (0.3857),0.3158 (0.4466),0.2927 (0.4139),13.0
Prof. Ign. Kratchkovsky,0.1952 (0.0759),0.1795 (0.0959),0.1857 (0.0859),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5577 (0.3959),0.6000 (0.4246),0.5773 (0.4084),25.0
Daoud Mujaes,0.8391 (0.0446),0.8704 (0.0944),0.8527 (0.0594),18.0
Bechara El Khoury,0.5550 (0.0906),0.8542 (0.0780),0.6639 (0.0607),8.0
Youssef Ibrahim Yazbek,0.7125 (0.0757),0.3675 (0.2056),0.4501 (0.1720),20.0
Elias Abu Shabaki,0.9375 (0.0884),0.9240 (0.0688),0.9247 (0.0313),49.0
Elie Maroun Khalil,1.0000 (0.0000),0.9372 (0.0596),0.9666 (0.0322),22.0
Aziz Khoury,0.6667 (0.4714),0.3333 (0.3316),0.4110 (0.3616),14.0
Ghnatyos Mbarak,0.2222 (0.3143),0.0635 (0.0898),0.0988 (0.1397),21.0
