Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.4407 (0.3848),0.3509 (0.3282),0.3899 (0.3542),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.5000 (0.4082),0.5556 (0.4157),20.0
Your son George,0.5627 (0.2215),0.8622 (0.1358),0.6347 (0.0943),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.1310 (0.1024),0.0522 (0.0456),0.0673 (0.0515),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7934 (0.1583),0.9333 (0.0943),0.8392 (0.0554),24.0
Shibli N. Damus,0.8769 (0.0871),0.8025 (0.1151),0.8256 (0.0324),103.0
Naoum Mokarzel,0.5185 (0.4091),0.3093 (0.2663),0.3861 (0.3218),18.0
Eissa alKhouri,0.7411 (0.1675),0.8109 (0.2292),0.7238 (0.0718),43.0
Girgi Dimitri Sursock,0.2889 (0.0879),0.8810 (0.1214),0.4325 (0.1156),7.0
Felix Faris,0.7187 (0.1689),0.9114 (0.0905),0.7834 (0.1016),151.0
May Ziadeh,0.1662 (0.1116),0.4488 (0.3526),0.2343 (0.1765),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5583 (0.3071),0.4530 (0.1876),0.4654 (0.2364),78.0
Mohammed Amin al-Husseini ,0.6250 (0.4449),0.2713 (0.3307),0.3143 (0.3484),13.0
Prof. Ign. Kratchkovsky,0.0769 (0.1088),0.0769 (0.1088),0.0769 (0.1088),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5633 (0.4086),0.5867 (0.4148),0.5722 (0.4074),25.0
Daoud Mujaes,0.6141 (0.0567),0.8889 (0.1200),0.7252 (0.0758),18.0
Bechara El Khoury,0.2786 (0.0151),0.7500 (0.2700),0.3887 (0.0393),8.0
Youssef Ibrahim Yazbek,0.7323 (0.1388),0.6611 (0.1723),0.6891 (0.1495),20.0
Elias Abu Shabaki,0.9861 (0.0196),0.9098 (0.0451),0.9455 (0.0225),49.0
Elie Maroun Khalil,0.8430 (0.1505),0.6889 (0.2414),0.7144 (0.1561),22.0
Aziz Khoury,0.6667 (0.4714),0.1429 (0.1543),0.2199 (0.2234),14.0
Ghnatyos Mbarak,0.2500 (0.3536),0.0476 (0.0673),0.0800 (0.1131),21.0
Botros Feghaly,0.4357 (0.3244),0.2361 (0.1678),0.3019 (0.2138),24.0
Toufiq Wehbeh,0.8089 (0.1307),0.9672 (0.0464),0.8717 (0.0573),21.0
Bishop Mkhayel Akhrass,0.6840 (0.0603),0.7596 (0.2344),0.7032 (0.1367),17.0
George Saad,0.7976 (0.1496),0.4594 (0.2167),0.5515 (0.2202),38.0
Bishop Aghnathios Mbarak,0.6361 (0.1406),0.7582 (0.3014),0.6644 (0.2007),15.0
Fathallah Khoury,0.4841 (0.2811),0.4810 (0.2895),0.4617 (0.2528),14.0
Elias Sarkis,0.6188 (0.0369),0.9322 (0.0171),0.7429 (0.0225),20.0
Fouad Chehab,1.0000 (0.0000),0.9806 (0.0204),0.9901 (0.0105),11.0
Hanna Moussa,0.8888 (0.0794),0.9901 (0.0140),0.9343 (0.0371),25.0
Habib Massoud,0.5375 (0.3801),0.6667 (0.4714),0.5951 (0.4208),26.0
Zaghloul,0.9490 (0.0210),0.9904 (0.0136),0.9690 (0.0053),25.0
Father Youhanna Habib Baysari,0.9722 (0.0393),0.8446 (0.1583),0.8933 (0.0916),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.2121 (0.3000),0.2029 (0.2869),0.2074 (0.2933),23.0
Father Botros Hasan,0.5317 (0.2210),0.6974 (0.1985),0.5891 (0.1920),19.0
Father Youssef Hajj,0.0238 (0.0337),0.0159 (0.0224),0.0190 (0.0269),21.0
Father Mkhayel Zreiby,0.5245 (0.2997),0.7308 (0.1922),0.5903 (0.2780),39.0
Father Mikhael Hanna,0.2667 (0.3771),0.1616 (0.2286),0.2013 (0.2846),33.0
Jean Philipp Kmeid,0.8479 (0.1847),0.9909 (0.0128),0.9014 (0.1143),27.0
Michel Saykali,0.4817 (0.1835),0.9762 (0.0337),0.6277 (0.1598),14.0
Hanna Ghayth (Juan Gait),0.7691 (0.1190),1.0000 (0.0000),0.8646 (0.0729),13.0
Yousef Hobeiche,0.6717 (0.1887),0.9400 (0.0848),0.7583 (0.0861),17.0
Angele Ellis,0.8333 (0.1361),0.2679 (0.2043),0.3636 (0.2157),27.0
Khalil Yossuf Nader Raad,0.4674 (0.1674),1.0000 (0.0000),0.6187 (0.1608),22.0
Mansour Eid,0.8982 (0.0567),0.8099 (0.2388),0.8237 (0.1355),93.0
Mkhayel Meneem,1.0000 (0.0000),0.8933 (0.0189),0.9436 (0.0104),25.0
Constantine Elias,0.9012 (0.0454),0.9804 (0.0277),0.9390 (0.0367),17.0
Maurice Gemayel,0.5563 (0.1133),0.7020 (0.1751),0.5882 (0.0266),11.0
Murshid Habashi,0.7848 (0.1228),0.8555 (0.0277),0.8152 (0.0749),26.0
Michel Kahwaji,0.6137 (0.2772),0.9929 (0.0100),0.7167 (0.2347),141.0
Mayor of Kfarshima,0.3000 (0.1614),0.5464 (0.3700),0.3839 (0.2270),33.0
Sohayl Tohmeh,0.7212 (0.1112),0.8914 (0.1047),0.7948 (0.0990),36.0
Shukri Kanaan,0.4708 (0.0757),0.5051 (0.0937),0.4797 (0.0549),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9152 (0.0875),0.9978 (0.0031),0.9524 (0.0483),153.0
Father Boulos El-Mender,0.2888 (0.2478),0.2851 (0.1329),0.2628 (0.1700),20.0
Salah Tizani,0.9598 (0.0098),0.9989 (0.0016),0.9789 (0.0043),297.0
Father Elias Bassil,0.1111 (0.1571),0.0196 (0.0277),0.0333 (0.0471),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
