Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.3000 (0.4243),0.1579 (0.2233),0.2069 (0.2926),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.7778 (0.3143),0.8333 (0.2357),20.0
Your son George,0.5361 (0.1184),0.8319 (0.1320),0.6376 (0.0911),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0556 (0.0786),0.0185 (0.0262),0.0278 (0.0393),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7865 (0.1695),0.8879 (0.1088),0.8105 (0.0511),24.0
Shibli N. Damus,0.8752 (0.0785),0.7275 (0.1025),0.7841 (0.0380),103.0
Naoum Mokarzel,0.5000 (0.4082),0.1370 (0.1238),0.2145 (0.1898),18.0
Eissa alKhouri,0.8754 (0.0299),0.6811 (0.2660),0.7401 (0.1882),43.0
Girgi Dimitri Sursock,0.2750 (0.1393),0.9286 (0.0583),0.4067 (0.1606),7.0
Felix Faris,0.5831 (0.2390),0.8918 (0.1021),0.6607 (0.1917),151.0
May Ziadeh,0.1344 (0.1041),0.3310 (0.2371),0.1843 (0.1464),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5279 (0.2902),0.5567 (0.1233),0.5021 (0.2328),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0370 (0.0524),0.0513 (0.0725),0.0430 (0.0608),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5797 (0.4148),0.4933 (0.3492),0.5312 (0.3760),25.0
Daoud Mujaes,0.7131 (0.1555),0.6111 (0.3271),0.6293 (0.2694),18.0
Bechara El Khoury,0.2690 (0.0309),0.7500 (0.1350),0.3907 (0.0230),8.0
Youssef Ibrahim Yazbek,0.6111 (0.2833),0.1087 (0.0251),0.1735 (0.0195),20.0
Elias Abu Shabaki,1.0000 (0.0000),0.8641 (0.0181),0.9270 (0.0104),49.0
Elie Maroun Khalil,0.8839 (0.1226),0.6534 (0.2161),0.7189 (0.1534),22.0
Aziz Khoury,0.3333 (0.4714),0.0278 (0.0393),0.0513 (0.0725),14.0
Ghnatyos Mbarak,0.1481 (0.2095),0.0635 (0.0898),0.0889 (0.1257),21.0
Botros Feghaly,0.3333 (0.2494),0.0734 (0.0533),0.1202 (0.0877),24.0
Toufiq Wehbeh,0.8024 (0.0556),0.9302 (0.0691),0.8571 (0.0000),21.0
Bishop Mkhayel Akhrass,0.6519 (0.1318),0.7589 (0.2673),0.6563 (0.1412),17.0
George Saad,0.6532 (0.1914),0.2931 (0.1450),0.3796 (0.1458),38.0
Bishop Aghnathios Mbarak,0.4969 (0.0203),0.7020 (0.2871),0.5504 (0.1253),15.0
Fathallah Khoury,0.4897 (0.2018),0.5214 (0.2845),0.4990 (0.2320),14.0
